k,모델,Hit@3(전체),Recall@3(전체),Hit@3(후보내),PR-AUC(후보내),평가 Event 수(전체)
5,기준선 prior만,0.6356275303643724,0.35564451792521967,0.683599419448476,0.22420697495280628,171
5,XGB 기존15변수(LOO prior),0.6666666666666666,0.3745004183600675,0.7169811320754716,0.28559701646891605,171
5,XGB 15변수+이력,0.6900584795321637,0.3920442780091903,0.7421383647798742,0.29394136410366095,171
6,기준선 prior만,0.6441525953721076,0.32965864307327725,0.6830238726790451,0.25696312523085585,123
6,XGB 기존15변수(LOO prior),0.6991869918699187,0.36332899259728524,0.7413793103448276,0.31733873480161645,123
6,XGB 15변수+이력,0.6910569105691057,0.3580027921491336,0.7327586206896551,0.31029170509339427,123
7,기준선 prior만,0.691579254079254,0.3113000005045459,0.7159879336349925,0.31062484270823026,88
7,XGB 기존15변수(LOO prior),0.75,0.3575995343040797,0.7764705882352941,0.37124600495056564,88
7,XGB 15변수+이력,0.7727272727272727,0.3738062442607897,0.8,0.38097711933762146,88
