모델,Hit@3(전체),Hit@3(전체) 95%CI,Hit@3(전체) - prior기준선,전체 차이 95%CI,Recall@3(전체),Recall@3(전체) 95%CI,Hit@3(후보내),Hit@3(후보내) 95%CI,Hit@3(후보내) - prior기준선,후보내 차이 95%CI,Recall@3(후보내),Recall@3(후보내) 95%CI,PR-AUC(후보내),ROC-AUC(후보내),평가 Event 수(전체),평가 Event 수(후보내),테스트 Event 수
기준선 무작위,0.22613216537834738,0.20~0.25,-0.4180204299937602,-0.49~-0.35,0.08304043941352285,0.08~0.09,0.23977807190979938,0.21~0.26,-0.44324580076924575,-0.52~-0.37,0.0959383702621694,0.09~0.10,0.06660175267770205,0.5,123,116,150
기준선 초기민원수 상위3,0.6822831978319784,0.60~0.76,0.03813060245987075,-0.03~+0.11,0.3402594909607105,0.29~0.39,0.7234554597701149,0.65~0.79,0.04043158709106985,-0.04~+0.12,0.3956571254416082,0.34~0.45,0.22657437405009637,0.7196508553531406,123,116,150
기준선 prior만,0.6441525953721076,0.56~0.73,0.0,+0.00~+0.00,0.32965864307327725,0.27~0.39,0.6830238726790451,0.60~0.77,0.0,+0.00~+0.00,0.38513892716478915,0.32~0.45,0.25696312523085585,0.8470674216663432,123,116,150
XGB 기존15변수(LOO prior),0.6991869918699187,0.62~0.78,0.05503439649781113,+0.01~+0.10,0.36332899259728524,0.31~0.42,0.7413793103448276,0.66~0.82,0.058355437665782495,+0.02~+0.11,0.42128582624272276,0.36~0.48,0.31733873480161645,0.848501042577931,123,116,150
XGB 15변수+이력,0.6910569105691057,0.61~0.77,0.04690431519699812,-0.00~+0.10,0.3580027921491336,0.30~0.41,0.7327586206896551,0.66~0.81,0.04973474801061008,-0.00~+0.11,0.42086505448574413,0.36~0.48,0.31029170509339427,0.8577048888303239,123,116,150
