모델,2022년까지 Hit@3(전체),2023년 이후 Hit@3(전체),평가 Event 수(2022까지/2023이후),시기 변화(이후-이전),기준선 대비 우위(2022까지),기준선 대비 우위(2023이후),우위의 변화
기준선 무작위,0.24637401402657533,0.17908354419597963,86/37,"-0.067 [-0.113, -0.015] ▼",-0.440,-0.368,"+0.072 [-0.100, +0.251] "
기준선 초기민원수 상위3,0.6937984496124031,0.655518018018018,86/37,"-0.038 [-0.202, +0.130] ",+0.008,+0.109,"+0.101 [-0.093, +0.283] "
기준선 prior만,0.686046511627907,0.5467775467775468,86/37,"-0.139 [-0.330, +0.041] ",(기준),(기준),
XGB 기존15변수(LOO prior),0.7209302325581395,0.6486486486486487,86/37,"-0.072 [-0.250, +0.117] ",+0.035,+0.102,"+0.067 [-0.027, +0.175] "
XGB 15변수+이력,0.7209302325581395,0.6216216216216216,86/37,"-0.099 [-0.289, +0.090] ",+0.035,+0.075,"+0.040 [-0.078, +0.175] "
