라벨,양성 격자-Event 수,원본 대비,후보 안 정답 있는 Event 수,정답이 있는 Event 수(후보 밖 포함)
원본 라벨,342,1.0,116,123
상위 3개 위치 신고 제외,281,0.8216374269005848,106,113
상위 10개 위치 신고 제외,256,0.7485380116959064,100,108
예측 창에 서로 다른 위치 2곳 이상,103,0.30116959064327486,54,55
