k,모델,Hit@3(전체),Recall@3(전체),Hit@3(후보내),PR-AUC(후보내),평가 Event 수(전체)
3,기준선 prior만,0.5044289044289044,0.3218603618603619,0.5779914529914529,0.09615250297989777,165
3,XGB 기존15변수(LOO prior),0.5515151515151515,0.37399711399711394,0.6319444444444444,0.12116319301575497,165
3,XGB 15변수+이력,0.5636363636363636,0.38440115440115435,0.6458333333333334,0.1324180688364698,165
4,기준선 prior만,0.5384615384615384,0.314251012145749,0.57476231633535,0.1284531301648412,95
4,XGB 기존15변수(LOO prior),0.6210526315789474,0.40789473684210525,0.6629213483146067,0.14599007820963633,95
4,XGB 15변수+이력,0.6421052631578947,0.4170175438596491,0.6853932584269663,0.18809889220305462,95
5,기준선 prior만,0.49798893916540976,0.3096991788168259,0.5291132478632479,0.12072254263434842,51
5,XGB 기존15변수(LOO prior),0.6078431372549019,0.403921568627451,0.6458333333333334,0.13467643831336001,51
5,XGB 15변수+이력,0.6078431372549019,0.4016339869281046,0.6458333333333334,0.1711977261008212,51
