상호,주소,가축분뇨폐수량,처리방법,데이터기준일자,기타
다니엘농장,전북특별자치도 익산시 춘포면 신동리 415-1 593 598-1 587,4.7,저장액비화 외 10건,2024-12-11,
해밀축산,전북특별자치도 익산시 춘포면 신동리 616-1 616-3 616-4 618,6,저장액비화 외 2건,2024-12-11,
어울진농장,전북특별자치도 익산시 춘포면 창평리 371-1,5.99,저장액비화 외 1건,2024-12-11,
삼부농장,전북특별자치도 익산시 춘포면 오산리 164 165,5.2,저장액비화 외 6건,2024-12-11,
금모래농장,전북특별자치도 익산시 오산면 신지리 679-9 680-7 680-8 680-9 680-10 680-13 680-21 680-24 681-9 682-14,14.47,기타 외 35건,2024-12-11,
,전북특별자치도 익산시 황등면 율촌리 510-38,0,기타,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 751외1,0,,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 산 172,0.9,퇴비사 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 평장리 156-1,1.2,저장조,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 광암리 491-2,0.7,퇴비사 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 황등면 용산리 883 804,3.1,저장액비화 외 4건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 564-1,1.7,퇴비사 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 광암리 1338,2.7,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 쌍제리 94,0.7,퇴비사 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 205-16,0.5,퇴비사 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 흥암리 674-13 674-4 674-14 674-15 674-16 674-66,4.89,저장액비화 외 7건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 흥암리 822-1,0.6,퇴비사 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 흥암리 1077-1 외 1필지,2.7,저장액비화 외 3건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 흥암리 252-9,0.9,저장액비화 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 14-7 14-3 14-15 14-29,1.4,저장조 외 5건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 543,1,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 14-7,1.4,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 522-25,3.6,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 금마면 용순리 53-17,1.1,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 흥암리 1056-8,2,저장액비화 외 3건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 망성면 내촌리 537-3 외3,2.6,퇴비사 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 삼기면 오룡리 767-1,3.4,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 흥암리 681-112,1.8,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 낭산면 호암리 169-1 169-4,0.9,기타,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 646-16,0.9,퇴비사,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 326-2,1.3,기타,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 낭산면 석천리 857 외1,0,,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 낭산면 석천리 847-10외2,2.5,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 흥암리 452 560-15,4,기타 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 동촌리 377 378-1 378-4,4.5,기타 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 227-10,0,기타 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 15-6 외 1필지,0,,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 205-25,2.5,기타 외 3건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 711 외1,0.9,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 293 293-1 293-4 289-13 289-31 289-32 1230,10.6,톱밥발효 외 4건,2024-12-11,상호명이 존재하지 않아 공란처리
두리농장,전북특별자치도 익산시 낭산면 용기리 447-1 448 452 452-1 453-1 453-2 454-3 456-1 457-1 463-1 1833-1,8.77,저장액비화 외 11건,2024-12-11,
진흥농장,전북특별자치도 익산시 금마면 갈산리 284-4 284-8 284-9 284-10 284-11 252-1 415-3,8.28,저장액비화 외 3건,2024-12-11,
,전북특별자치도 익산시 함열읍 다송리 358,2.3,저장액비화 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 광암리 1335,1.4,퇴비화,2024-12-11,상호명이 존재하지 않아 공란처리
상일농장,전북특별자치도 익산시 낭산면 용기리 1509-58,,,2024-12-11,
,전북특별자치도 익산시 함열읍 석매리 117-3,2.1,기타,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 낭산면 용기리 1509-22,1.4,기타,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 83-6 83 83-1 83-9,3.4,기타 외 4건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 쌍제리 20-16 20-3 25 20-5,4.3,저장액비화 외 5건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 205-135,0,,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 춘포면 창평리 369,3.5,활성오니법 외 5건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 14-1 14-2 14-25 14임,3.36,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 224-6,0.6,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 용동면 화실리 580-15 외2,2.5,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 478-1,0.4,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 함열읍 흘산리 116-7 외2,0,,2024-12-11,상호명이 존재하지 않아 공란처리
익산농장,전북특별자치도 익산시 왕궁면 구덕리 72 72-40,0,기타,2024-12-11,
보성농장,전북특별자치도 익산시 왕궁면 구덕리 72,4.3,기타,2024-12-11,
무곡농장,전북특별자치도 익산시 망성면 신작리 569 659-1 659-2 570-1 1136,10.46,저장액비화 외 10건,2024-12-11,
,전북특별자치도 익산시 왕궁면 구덕리 95-40,1.3,기타 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 60-6 60-8,1.5,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 84-1,2.2,기타 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 16-24,2,기타 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 21-22 17-54,1.3,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 227-45,0.7,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 쌍제리 180-19,1.3,기타 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 233-33,0.9,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 233 234 234-1,3.3,기타 외 3건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 233-37 산91-159 162,2.3,기타 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 271-18,3.1,기타 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 271-15,2.99,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 금마면 동고도리 255-11,3.3,기타,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 82-28,0.9,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 21-166 174,1.3,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 551-20 551-21,2.5,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
세안농장,전북특별자치도 익산시 함열읍 석매리 116-43,1.1,기타 외 1건,2024-12-11,
세안농장,전북특별자치도 익산시 함열읍 석매리 116-44,1.3,활성오니법 외 3건,2024-12-11,
,전북특별자치도 익산시 함열읍 석매리 118-41,0.7,,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 함열읍 석매리 118-17,0.4,,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 낭산면 용기리 산 108-2,0.3,,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 낭산면 용기리 산 121-1,3.5,,2024-12-11,상호명이 존재하지 않아 공란처리
정민농장,전북특별자치도 익산시 함열읍 석매리 116-52 116-5,3.84,퇴비화 외 1건,2024-12-11,
,전북특별자치도 익산시 낭산면 용기리 1403-53,1.4,,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 낭산면 용기리 1509-15,0.5,기타,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 함열읍 석매리 116-7 118-33,0.8,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 함열읍 석매리 116-20,1.3,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 함열읍 석매리 116-53,1.92,활성오니법 외 3건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 함열읍 석매리 116-55,1.3,기타,2024-12-11,상호명이 존재하지 않아 공란처리
민솔3농장,전북특별자치도 익산시 함열읍 석매리 116-57 116-58,1.2,기타,2024-12-11,
세안농장,전북특별자치도 익산시 함열읍 석매리 116-59,1.3,활성오니법 외 3건,2024-12-11,
,전북특별자치도 익산시 함열읍 석매리 116-63,1.19,활성오니법 외 3건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 함열읍 석매리 118-7,0.5,기타,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 함열읍 석매리 118-12 118-13 116-56,3.4,활성오니법 외 3건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 함열읍 석매리 118-33 외 낭산면 용기리 1509-11 1509-51,0.81,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 함열읍 석매리 118-38 118-40,2.89,활성오니법 외 3건,2024-12-11,상호명이 존재하지 않아 공란처리
이레농장,전북특별자치도 익산시 낭산면 용기리 1403-83 1403-149 산118-42,2.75,퇴비화 외 2건,2024-12-11,
한얼팜스,전북특별자치도 익산시 낭산면 용기리 산 108-32 1403-130,1.18,활성오니법 외 3건,2024-12-11,
,전북특별자치도 익산시 함열읍 석매리 117-12,0.8,기타,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 함열읍 석매리 117-13,0.71,,2024-12-11,상호명이 존재하지 않아 공란처리
금실농장,전북특별자치도 익산시 함열읍 석매리 116-60 116-61 116-79,2.27,기타 외 1건,2024-12-11,
이브농장,전북특별자치도 익산시 함열읍 석매리 116-6 함열읍 석매리 116-6 116-34 116-35 116-36 116-37 116-41 118-51 118-77,6.75,기타,2024-12-11,
씨알농장,전북특별자치도 익산시 황등면 죽촌리 12-9 12-20 12-21 188-146 188-149 188-151 산20-7,7.9,퇴비화 외 7건,2024-12-11,
,전북특별자치도 익산시 함라면 신등리 1150-2 1150-5 1150-6 1150-12 1150-13 1150-33,7.98,저장액비화 외 10건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 69-81 69-82,0.95,퇴비화 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 69-86 산204-4,2,기타 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 90,2.2,기타,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 360-3 360-5,0,저장액비화 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 760-3 760-5 760-8,2.7,저장액비화 외 5건,2024-12-11,상호명이 존재하지 않아 공란처리
금실농장,전북특별자치도 익산시 낭산면 용기리 1509-16,0.67,기타,2024-12-11,
,전북특별자치도 익산시 낭산면 용기리 1403-53,2.27,활성오니법 외 3건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 낭산면 용기리 1403-84,0.7,,2024-12-11,상호명이 존재하지 않아 공란처리
한얼팜스,전북특별자치도 익산시 낭산면 용기리 1403-123 1403-150번지,1.72,기타 외 2건,2024-12-11,
,전북특별자치도 익산시 낭산면 용기리 1403-99 산108-2,1.7,활성오니법 외 3건,2024-12-11,상호명이 존재하지 않아 공란처리
민솔2농장,전북특별자치도 익산시 함열읍 석매리 116-58,1,,2024-12-11,
,전북특별자치도 익산시 함열읍 석매리 117-19,0.6,활성오니법,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 낭산면 용기리 509-17외2필지,2.8,활성오니법 외 3건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 함열읍 석매리 116-47,0.7,기타,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 함열읍 석매리 116-56,2,기타,2024-12-11,상호명이 존재하지 않아 공란처리
금실농장,전북특별자치도 익산시 함열읍 석매리 117-26,0.8,기타,2024-12-11,
,전북특별자치도 익산시 함열읍 석매리 산 108-32 낭산면 용기리 1403-130,0.7,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 271-24,3.5,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 551-7 551-9 551-20 551-25 551-26 551-27 551-29 551-33 551-34 551-35 551-42 551-59 551-60,10.21,퇴비사,2024-12-11,
,전북특별자치도 익산시 왕궁면 온수리 554-11,4.1,퇴비화 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 4-24 56,3.9,기타 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 웅포면 송천리 87-10 외 85-3 85-4,4.43,톱밥발효 외 4건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 271-1 271-6,4.53,퇴비사 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 춘포면 천서리 450-1 452 453,2.5,퇴비사 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 271-31,1,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 65,3.4,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 26-1,2.8,퇴비사 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 8-106 15 8,2.1,기타 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 15-20,1.6,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 95-4,0.5,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 205-79,1.3,퇴비사 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 518-13,0,기타 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 752-3,1.7,저장액비화 외 4건,2024-12-11,상호명이 존재하지 않아 공란처리
춘농영농조합법인,전북특별자치도 익산시 춘포면 신동리 118-2 118-1 118-3,2.23,저장액비화 외 1건,2024-12-11,
흥일농장,전북특별자치도 익산시 금마면 용순리 467-1 467-2 467-3 467-5 산57-5,12.3,통풍식 톱밥발효시설 외 7건,2024-12-11,
,전북특별자치도 익산시 왕궁면 온수리 326-46,0.8,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 271-34 45,1.6,기타 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 233-66 233-66,1.3,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
성지농장,전북특별자치도 익산시 망성면 화산리 83-1 83-2 83-3 80 84 79-1,,저장액비화 외 4건,2024-12-11,
,전북특별자치도 익산시 왕궁면 구덕리 87,3.5,기타 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 온수리 229-7 12,2.4,기타 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 518-11 12,3.2,기타 외 3건,2024-12-11,상호명이 존재하지 않아 공란처리
금부동영농조합법인,전북특별자치도 익산시 왕궁면 온수리 270-10 외 6필지,7.5,기타 외 4건,2024-12-11,
대규목장,전북특별자치도 익산시 왕궁면 흥암리 1075-18,2.4,저장액비화 외 1건,2024-12-11,
대건축산농장,전북특별자치도 익산시 왕궁면 구덕리 26,2.1,퇴비사 외 1건,2024-12-11,
재우스농장,전북특별자치도 익산시 춘포면 천서리 6-5,2.6,기타,2024-12-11,
성동농장,전북특별자치도 익산시 웅포면 제성리 140 141,14.4,기타 외 1건,2024-12-11,
어남농장,전북특별자치도 익산시 망성면 어량리 1764-27 1764-6,5.63,저장액비화 외 6건,2024-12-11,
금실농장,전북특별자치도 익산시 낭산면 용기리 1509-57 20 20-74 20-60,3.53,저장조 외 1건,2024-12-11,
,전북특별자치도 익산시 황등면 구자리 104-1 104-2 104-9 325-18,4.06,퇴비화 외 5건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 703-1 750-1 695-6,2.38,톱밥발효 외 3건,2024-12-11,상호명이 존재하지 않아 공란처리
한얼팜스2,전북특별자치도 익산시 낭산면 용기리 1509-54 1509-56 1509-17,1.6,퇴비사,2024-12-11,
,전북특별자치도 익산시 망성면 무형리 499-1,0.5,퇴비사 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 성당면 대선리 606-13 외 606-14 606-9호,3.19,저장액비화 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
산마루,전북특별자치도 익산시 낭산면 용기리 1509-65 1509-66 1509-69 1509-73 1509-79 1520-12 산120-11 산123-32,14.37,저장액비화 외 10건,2024-12-11,
임마누엘농장,전북특별자치도 익산시 낭산면 석천리 1217 1219 1219-6 망성면 어량리 883-5 888-9 888-15,3.66,기타 외 2건,2024-12-11,
,전북특별자치도 익산시 황등면 신성리 553-1 554-1,12.8,저장액비화 외 12건,2024-12-11,상호명이 존재하지 않아 공란처리
점박이 농장,전북특별자치도 익산시 성당면 성당리 70-1 두동리 26-8 954-1,6.99,"저장액비화 외 4건	",2024-12-11,
용안농장,전북특별자치도 익산시 용안면 덕용리 179-1 181-1 182 183-2 184-1 636-56 1162-1,10.32,퇴비사 외 4건,2024-12-11,
벧엘농장,전북특별자치도 익산시 왕궁면 구덕리 695-6 703-1 750-1 1103 1103-1 1103-2,5.1,저장액비화 외 11건,2024-12-11,
,전북특별자치도 익산시 왕궁면 구덕리 1254 1255 광암리39-1,4.3,기타 외 6건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 함열읍 석매리 118-45 118-46 118-48,3.5,퇴비사 외 6건,2024-12-11,상호명이 존재하지 않아 공란처리
