모델,2022년까지 Hit@3(전체),2023년 이후 Hit@3(전체),평가 Event 수(2022까지/2023이후),시기 변화(이후-이전),기준선 대비 우위(2022까지),기준선 대비 우위(2023이후),우위의 변화
기준선 무작위,0.2765110920520053,0.2600620965878456,99/35,"-0.016 [-0.059, +0.029] ",-0.380,-0.489,"-0.110 [-0.251, +0.032] "
기준선 초기민원수 상위3,0.7223905723905724,0.78,99/35,"+0.058 [-0.089, +0.193] ",+0.066,+0.031,"-0.036 [-0.190, +0.118] "
기준선 prior만,0.6561771561771561,0.7494505494505495,99/35,"+0.093 [-0.073, +0.255] ",(기준),(기준),
XGB 기존15변수(LOO prior),0.6868686868686869,0.7428571428571429,99/35,"+0.056 [-0.122, +0.219] ",+0.031,-0.007,"-0.037 [-0.119, +0.036] "
XGB 15변수+이력,0.6868686868686869,0.7428571428571429,99/35,"+0.056 [-0.122, +0.219] ",+0.031,-0.007,"-0.037 [-0.119, +0.036] "
