θ(prior 하한),핫스팟 후보 행,Event당 핫스팟 후보(평균),핫스팟 후보>3인 Event 수,핫스팟 안 양성률
0.1,1288,8.882758620689655,141,0.234472049689441
0.15,1033,7.124137931034483,138,0.26040658276863504
0.25,688,4.879432624113475,134,0.30959302325581395
