θ(prior 하한),핫스팟 후보 행,Event당 핫스팟 후보(평균),핫스팟 후보>3인 Event 수,핫스팟 안 양성률
0.1,718,6.189655172413793,102,0.12256267409470752
0.15,518,4.709090909090909,81,0.13706563706563707
0.25,81,1.9285714285714286,0,0.1728395061728395
