라벨,양성 격자-Event 수,원본 대비,후보 안 정답 있는 Event 수,정답이 있는 Event 수(후보 밖 포함)
원본 라벨,170,1.0,89,95
상위 3개 위치 신고 제외,127,0.7470588235294118,66,73
상위 10개 위치 신고 제외,114,0.6705882352941176,60,69
예측 창에 서로 다른 위치 2곳 이상,40,0.23529411764705882,32,32
