city,name,address,industry,facility,notice_status,notice_date,source_url,checked_at
김제시,(유)푸른솔농업회사법인,김제시 만경읍 소토길 67,폐기물종합재활용,폐기물재활용처리시설일체,악취배출시설 신고대상시설 지정 행정예고(최종 지정 확인 필요),2020-12-30,https://www.gimje.go.kr/town/board/view.gimje?boardId=BBS_0000027&dataSid=164109&menuCd=DOM_000002203004001000,2026-09-20
김제시,㈜농협목우촌비료사업소,김제시 백산면 백석로 208,폐기물종합재활용,폐기물재활용처리시설일체,악취배출시설 신고대상시설 지정 행정예고(최종 지정 확인 필요),2020-12-30,https://www.gimje.go.kr/town/board/view.gimje?boardId=BBS_0000027&dataSid=164109&menuCd=DOM_000002203004001000,2026-09-20
