grid_x,grid_y,center_latitude,center_longitude,building_count,residential_count,commercial_count,total_floor_area_m2,mean_ground_floors,pages,grid_m,lat0,lon0
-14,-7,35.89781025646825,126.83400193717674,91,31,1,3619.3,0.5494505494505495,1,1000,35.9566125,126.98382
-14,-6,35.90685675547313,126.83400193717674,249,85,10,11040.0,0.6224899598393574,1,1000,35.9566125,126.98382
-14,-5,35.91590325447802,126.83400193717674,155,33,2,4587.8,0.5096774193548387,1,1000,35.9566125,126.98382
-14,-4,35.9249497534829,126.83400193717674,88,6,2,9974.6,0.4659090909090909,1,1000,35.9566125,126.98382
-14,-3,35.93399625248779,126.83400193717674,219,37,3,4696.8,0.3470319634703196,1,1000,35.9566125,126.98382
-13,-8,35.88876375746336,126.84509957145994,275,69,17,11068.2,0.5381818181818182,1,1000,35.9566125,126.98382
-13,-7,35.89781025646825,126.84509957145994,64,22,2,4789.1,0.578125,1,1000,35.9566125,126.98382
-13,-6,35.90685675547313,126.84509957145994,274,59,33,19042.2,0.6824817518248175,1,1000,35.9566125,126.98382
-13,-5,35.91590325447802,126.84509957145994,19,0,1,836.1,0.631578947368421,1,1000,35.9566125,126.98382
-13,-4,35.9249497534829,126.84509957145994,46,3,0,1119.6,0.45652173913043476,1,1000,35.9566125,126.98382
-13,-3,35.93399625248779,126.84509957145994,105,11,2,2230.7,0.44761904761904764,1,1000,35.9566125,126.98382
-12,-8,35.88876375746336,126.85619720574316,255,63,0,20945.9,0.5411764705882353,1,1000,35.9566125,126.98382
-12,-7,35.89781025646825,126.85619720574316,148,35,4,7090.3,0.5337837837837838,1,1000,35.9566125,126.98382
-12,-6,35.90685675547313,126.85619720574316,307,93,10,11145.4,0.501628664495114,1,1000,35.9566125,126.98382
-12,-5,35.91590325447802,126.85619720574316,46,10,0,1244.8,0.45652173913043476,1,1000,35.9566125,126.98382
-12,-4,35.9249497534829,126.85619720574316,278,42,3,6138.9,0.45323741007194246,1,1000,35.9566125,126.98382
-12,-3,35.93399625248779,126.85619720574316,112,19,5,11243.8,0.7410714285714286,1,1000,35.9566125,126.98382
-12,-2,35.94304275149267,126.85619720574316,507,106,7,13276.9,0.45956607495069035,1,1000,35.9566125,126.98382
-12,-1,35.95208925049756,126.85619720574316,118,17,1,2079.4,0.3305084745762712,1,1000,35.9566125,126.98382
-12,6,36.01541474353175,126.85619720574316,101,10,7,2655.9,0.45544554455445546,1,1000,35.9566125,126.98382
-12,7,36.02446124253664,126.85619720574316,156,21,5,9247.5,0.532051282051282,1,1000,35.9566125,126.98382
-12,8,36.03350774154152,126.85619720574316,121,13,0,9743.3,0.48760330578512395,1,1000,35.9566125,126.98382
-12,9,36.04255424054641,126.85619720574316,184,41,6,8294.7,0.5271739130434783,1,1000,35.9566125,126.98382
-12,10,36.05160073955129,126.85619720574316,195,36,2,9128.7,0.3435897435897436,1,1000,35.9566125,126.98382
-12,11,36.06064723855618,126.85619720574316,32,0,1,1076.5,0.28125,1,1000,35.9566125,126.98382
-12,12,36.06969373756106,126.85619720574316,138,10,5,3092.2,0.2753623188405797,1,1000,35.9566125,126.98382
-11,-8,35.88876375746336,126.86729484002636,90,8,0,13477.4,0.5444444444444444,1,1000,35.9566125,126.98382
-11,-7,35.89781025646825,126.86729484002636,47,14,1,3853.8,0.7659574468085106,1,1000,35.9566125,126.98382
-11,-6,35.90685675547313,126.86729484002636,0,0,0,0.0,0.0,1,1000,35.9566125,126.98382
-11,-5,35.91590325447802,126.86729484002636,168,41,5,6500.9,0.5773809523809523,1,1000,35.9566125,126.98382
-11,-4,35.9249497534829,126.86729484002636,312,66,4,8569.0,0.5673076923076923,1,1000,35.9566125,126.98382
-11,-3,35.93399625248779,126.86729484002636,199,50,5,8484.8,0.7035175879396985,1,1000,35.9566125,126.98382
-11,-2,35.94304275149267,126.86729484002636,41,7,0,2002.3,0.6341463414634146,1,1000,35.9566125,126.98382
-11,-1,35.95208925049756,126.86729484002636,493,108,16,20035.5,0.5679513184584178,1,1000,35.9566125,126.98382
-11,0,35.96113574950244,126.86729484002636,674,154,38,85045.6,0.7626112759643917,1,1000,35.9566125,126.98382
-11,1,35.97018224850733,126.86729484002636,146,13,2,68244.3,0.7808219178082192,1,1000,35.9566125,126.98382
-11,2,35.97922874751221,126.86729484002636,355,88,8,23251.8,0.6112676056338028,1,1000,35.9566125,126.98382
-11,4,35.99732174552198,126.86729484002636,331,33,8,23250.3,0.4078549848942598,1,1000,35.9566125,126.98382
-11,5,36.00636824452687,126.86729484002636,283,33,1,28458.9,0.45936395759717313,1,1000,35.9566125,126.98382
-11,6,36.01541474353175,126.86729484002636,98,11,0,3640.0,0.42857142857142855,1,1000,35.9566125,126.98382
-11,7,36.02446124253664,126.86729484002636,193,24,1,11742.3,0.39378238341968913,1,1000,35.9566125,126.98382
-11,8,36.03350774154152,126.86729484002636,18,0,0,895.2,0.4444444444444444,1,1000,35.9566125,126.98382
-11,9,36.04255424054641,126.86729484002636,99,18,0,3095.0,0.41414141414141414,1,1000,35.9566125,126.98382
-11,10,36.05160073955129,126.86729484002636,39,4,1,3634.0,0.38461538461538464,1,1000,35.9566125,126.98382
-11,11,36.06064723855618,126.86729484002636,10,2,0,357.3,0.4,1,1000,35.9566125,126.98382
-11,12,36.06969373756106,126.86729484002636,18,0,1,255.7,0.2777777777777778,1,1000,35.9566125,126.98382
-10,-8,35.88876375746336,126.87839247430956,427,49,10,27375.7,0.4262295081967213,1,1000,35.9566125,126.98382
-10,-7,35.89781025646825,126.87839247430956,235,53,4,12104.0,0.4553191489361702,1,1000,35.9566125,126.98382
-10,-6,35.90685675547313,126.87839247430956,54,7,1,522.9,0.25925925925925924,1,1000,35.9566125,126.98382
-10,-5,35.91590325447802,126.87839247430956,159,30,1,10119.3,0.5220125786163522,1,1000,35.9566125,126.98382
-10,-4,35.9249497534829,126.87839247430956,206,95,4,13998.7,0.7572815533980582,1,1000,35.9566125,126.98382
-10,-3,35.93399625248779,126.87839247430956,282,68,10,16969.7,0.6170212765957447,1,1000,35.9566125,126.98382
-10,-2,35.94304275149267,126.87839247430956,196,37,0,14819.3,0.5714285714285714,1,1000,35.9566125,126.98382
-10,-1,35.95208925049756,126.87839247430956,34,0,0,277.8,0.8529411764705882,1,1000,35.9566125,126.98382
-10,0,35.96113574950244,126.87839247430956,106,15,2,16321.2,0.6037735849056604,1,1000,35.9566125,126.98382
-10,1,35.97018224850733,126.87839247430956,406,90,7,14932.3,0.541871921182266,1,1000,35.9566125,126.98382
-10,2,35.97922874751221,126.87839247430956,840,180,57,43607.6,0.5261904761904762,1,1000,35.9566125,126.98382
-10,4,35.99732174552198,126.87839247430956,216,41,3,5780.9,0.3888888888888889,1,1000,35.9566125,126.98382
-10,5,36.00636824452687,126.87839247430956,530,70,5,69044.3,0.5169811320754717,1,1000,35.9566125,126.98382
-10,6,36.01541474353175,126.87839247430956,406,17,11,108733.8,0.6403940886699507,1,1000,35.9566125,126.98382
-10,7,36.02446124253664,126.87839247430956,167,3,5,19439.6,0.4491017964071856,1,1000,35.9566125,126.98382
-10,8,36.03350774154152,126.87839247430956,171,40,6,5320.2,0.49122807017543857,1,1000,35.9566125,126.98382
-10,9,36.04255424054641,126.87839247430956,53,5,9,3141.9,0.7547169811320755,1,1000,35.9566125,126.98382
-10,10,36.05160073955129,126.87839247430956,172,43,6,6400.5,0.5581395348837209,1,1000,35.9566125,126.98382
-10,11,36.06064723855618,126.87839247430956,325,82,23,15086.6,0.7107692307692308,1,1000,35.9566125,126.98382
-10,12,36.06969373756106,126.87839247430956,126,35,5,15103.7,0.6746031746031746,1,1000,35.9566125,126.98382
-9,-8,35.88876375746336,126.88949010859277,325,39,5,9793.6,0.30153846153846153,1,1000,35.9566125,126.98382
-9,-7,35.89781025646825,126.88949010859277,249,37,6,7178.0,0.3895582329317269,1,1000,35.9566125,126.98382
-9,-6,35.90685675547313,126.88949010859277,129,26,1,2774.5,0.35658914728682173,1,1000,35.9566125,126.98382
-9,-5,35.91590325447802,126.88949010859277,128,40,1,4872.6,0.5859375,1,1000,35.9566125,126.98382
-9,-4,35.9249497534829,126.88949010859277,200,44,2,9958.7,0.465,1,1000,35.9566125,126.98382
-9,-3,35.93399625248779,126.88949010859277,137,35,4,5742.3,0.49635036496350365,1,1000,35.9566125,126.98382
-9,-2,35.94304275149267,126.88949010859277,165,52,3,8737.3,0.6424242424242425,1,1000,35.9566125,126.98382
-9,-1,35.95208925049756,126.88949010859277,148,30,1,4297.9,0.5540540540540541,1,1000,35.9566125,126.98382
-9,0,35.96113574950244,126.88949010859277,159,25,3,2973.8,0.3522012578616352,1,1000,35.9566125,126.98382
-9,1,35.97018224850733,126.88949010859277,66,7,0,5702.9,0.5909090909090909,1,1000,35.9566125,126.98382
-9,2,35.97922874751221,126.88949010859277,73,4,4,3798.5,0.5616438356164384,1,1000,35.9566125,126.98382
-9,3,35.9882752465171,126.88949010859277,66,0,0,35877.3,1.0,1,1000,35.9566125,126.98382
-9,4,35.99732174552198,126.88949010859277,244,36,0,8035.8,0.44672131147540983,1,1000,35.9566125,126.98382
-9,5,36.00636824452687,126.88949010859277,393,45,4,16656.8,0.37150127226463103,1,1000,35.9566125,126.98382
-9,6,36.01541474353175,126.88949010859277,249,34,0,42958.0,0.570281124497992,1,1000,35.9566125,126.98382
-9,7,36.02446124253664,126.88949010859277,223,34,4,19552.0,0.40358744394618834,1,1000,35.9566125,126.98382
-9,8,36.03350774154152,126.88949010859277,316,67,9,30942.1,0.41455696202531644,1,1000,35.9566125,126.98382
-9,9,36.04255424054641,126.88949010859277,156,21,1,6832.1,0.3333333333333333,1,1000,35.9566125,126.98382
-9,10,36.05160073955129,126.88949010859277,40,6,0,545.2,0.225,1,1000,35.9566125,126.98382
-9,11,36.06064723855618,126.88949010859277,69,12,6,3028.3,0.6086956521739131,1,1000,35.9566125,126.98382
-9,12,36.06969373756106,126.88949010859277,32,5,0,10099.9,0.40625,1,1000,35.9566125,126.98382
-8,-7,35.89781025646825,126.90058774287597,229,37,7,12511.3,0.4890829694323144,1,1000,35.9566125,126.98382
-8,-6,35.90685675547313,126.90058774287597,91,16,2,1408.3,0.27472527472527475,1,1000,35.9566125,126.98382
-8,-5,35.91590325447802,126.90058774287597,269,68,4,9542.9,0.5724907063197026,1,1000,35.9566125,126.98382
-8,-4,35.9249497534829,126.90058774287597,128,18,3,4317.6,0.46875,1,1000,35.9566125,126.98382
-8,-3,35.93399625248779,126.90058774287597,57,10,0,7393.7,0.7192982456140351,1,1000,35.9566125,126.98382
-8,-2,35.94304275149267,126.90058774287597,197,55,4,9194.7,0.5736040609137056,1,1000,35.9566125,126.98382
-8,-1,35.95208925049756,126.90058774287597,41,7,0,639.2,0.5853658536585366,1,1000,35.9566125,126.98382
