폴드,학습 기간,학습 Event,테스트 Event,예측창에 민원 있음,후보 안 정답 있음,후보 밖에만 있음,상태,표본
2021-01~2021-12,2019-07~2020-10,91,34,34,34,0,사용,충분
2022-01~2022-12,2019-07~2021-10,125,17,17,17,0,사용,충분
2023-01~2023-06,2019-07~2022-09,142,0,0,0,0,제외(테스트 Event 0개),
2023-07~2023-12,2019-07~2022-09,142,2,2,2,0,사용,"작음(<15, 참고용)"
2024-01~2024-06,2019-07~2023-09,144,0,0,0,0,제외(테스트 Event 0개),
2024-07~2024-12,2019-07~2023-09,144,9,9,8,1,사용,"작음(<15, 참고용)"
2025-01~2025-06,2019-07~2024-09,153,0,0,0,0,제외(테스트 Event 0개),
2025-07~2025-09,2019-07~2024-09,153,3,3,3,0,사용,"작음(<15, 참고용)"
