모델,Hit@3(전체),Hit@3(전체) 95%CI,Hit@3(전체) - prior기준선,전체 차이 95%CI,Recall@3(전체),Recall@3(전체) 95%CI,Hit@3(후보내),Hit@3(후보내) 95%CI,Hit@3(후보내) - prior기준선,후보내 차이 95%CI,Recall@3(후보내),Recall@3(후보내) 95%CI,PR-AUC(후보내),ROC-AUC(후보내),평가 Event 수(전체),평가 Event 수(후보내),테스트 Event 수
기준선 무작위,0.3241516143051891,0.29~0.36,-0.49123300107942636,-0.57~-0.40,0.08052488359850032,0.07~0.09,0.3292164832787077,0.30~0.36,-0.4989085167212923,-0.58~-0.42,0.09693427376748867,0.09~0.10,0.11494775102226261,0.5,65,64,65
기준선 초기민원수 상위3,0.8224358974358975,0.73~0.91,0.007051282051282054,-0.09~+0.10,0.297828699078699,0.25~0.35,0.8352864583333334,0.75~0.92,0.007161458333333336,-0.09~+0.10,0.3421169704861111,0.29~0.39,0.28534405738550805,0.6884541558789394,65,64,65
기준선 prior만,0.8153846153846154,0.72~0.89,0.0,+0.00~+0.00,0.3437379287379287,0.29~0.40,0.828125,0.73~0.91,0.0,+0.00~+0.00,0.4114583333333333,0.35~0.47,0.48211867243159906,0.8958037431722817,65,64,65
XGB 기존15변수(LOO prior),0.7692307692307693,0.66~0.86,-0.046153846153846156,-0.11~+0.00,0.3028221778221778,0.25~0.35,0.78125,0.67~0.88,-0.046875,-0.11~+0.00,0.3528645833333333,0.29~0.41,0.4814765483162101,0.8909594110915421,65,64,65
XGB 15변수+이력,0.8307692307692308,0.74~0.91,0.015384615384615385,-0.03~+0.06,0.3405144855144855,0.29~0.39,0.84375,0.75~0.92,0.015625,-0.03~+0.06,0.3924479166666667,0.34~0.45,0.47576828549012995,0.8900240238290412,65,64,65
