분석대상,조건,시간한계_분,거리하한_km,거리상한_km,인접민원존재_신고수,전체신고수,비율_pct
익산시만_기본,30분 + 500m,30,0.0,0.5,4704,11955,39.34755332496863
익산시만_기본,30분 + 1km,30,0.0,1.0,5834,11955,48.79966541196153
익산시만_기본,1시간 + 1km,60,0.0,1.0,6497,11955,54.34546214972815
익산시만_기본,1시간 + 2km,60,0.0,2.0,7489,11955,62.64324550397323
익산시만_기본,2시간 + 3km,120,0.0,3.0,8547,11955,71.4930991217064
익산시만_50m이하제외,30분 + 1km,30,0.05,1.0,5449,11955,45.57925554161439
익산시만_50m이하제외,1시간 + 2km,60,0.05,2.0,7188,11955,60.12547051442911
익산시만_50m이하제외,2시간 + 3km,120,0.05,3.0,8290,11955,69.34337097448766
