항목,값
전체 행 수,13039
익산시 데이터 수,11955
완주군 데이터 수,1017
완주군 중 삼례읍 데이터 수,1017
그 외 지역 데이터 수,67
시공간 분석 유효 행 수,13039
시간 최솟값,2020-01-01 21:38:00
시간 최댓값,2026-07-30 00:17:00
위도 최솟값,35.8126
위도 최댓값,37.700367
경도 최솟값,126.62213
경도 최댓값,127.154015
주요 컬럼 결측치(JSON),"{""datetime"": 0, ""latitude"": 0, ""longitude"": 0, ""province"": 47, ""city"": 47, ""region"": 47, ""intensity"": 0, ""intensity_label"": 0, ""odor_type"": 0}"
