분석대상,발생시각,신고수,서로다른좌표수,지역별신고수,평균강도,최대강도,악취종류별신고수,주요악취종류
익산시만,2021-06-11 13:00:00,1,1,"{""현영동"": 1}",5.0,5,"{""하수구 냄새"": 1}",하수구 냄새
익산시만,2021-06-11 21:00:00,1,1,"{""동산동"": 1}",3.0,3,"{""기타"": 1}",기타
익산시만,2021-06-11 22:00:00,1,1,"{""모현동1가"": 1}",4.0,4,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-12 07:00:00,1,1,"{""모현동1가"": 1}",5.0,5,"{""기타"": 1}",기타
익산시만,2021-06-12 17:00:00,3,3,"{""어양동"": 2, ""영등동"": 1}",4.333333333333333,5,"{""공장 냄새(화학약품, 매캐함)"": 3}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-12 19:00:00,2,2,"{""부송동"": 1, ""마동"": 1}",4.0,5,"{""공장 냄새(화학약품, 매캐함)"": 2}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-12 21:00:00,1,1,"{""낭산면 용기리"": 1}",5.0,5,"{""기타"": 1}",기타
익산시만,2021-06-12 22:00:00,2,2,"{""모현동1가"": 1, ""영등동"": 1}",2.5,3,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1, ""공장 냄새(화학약품, 매캐함)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-12 23:00:00,1,1,"{""영등동"": 1}",4.0,4,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-13 11:00:00,1,1,"{""모현동1가"": 1}",4.0,4,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-13 14:00:00,2,2,"{""영등동"": 1, ""모현동1가"": 1}",4.0,5,"{""공장 냄새(화학약품, 매캐함)"": 2}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-13 15:00:00,3,3,"{""송학동"": 1, ""영등동"": 1, ""모현동1가"": 1}",5.0,5,"{""공장 냄새(화학약품, 매캐함)"": 3}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-13 16:00:00,3,3,"{""영등동"": 1, ""모현동2가"": 1, ""마동"": 1}",4.0,5,"{""공장 냄새(화학약품, 매캐함)"": 3}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-13 18:00:00,1,1,"{""모현동1가"": 1}",4.0,4,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-13 19:00:00,4,4,"{""모현동1가"": 1, ""신흥동"": 1, ""어양동"": 1, ""송학동"": 1}",4.5,5,"{""공장 냄새(화학약품, 매캐함)"": 4}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-13 21:00:00,1,1,"{""어양동"": 1}",4.0,4,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
