event_hour,hour,grid_x,grid_y,risk_score,rank,train_end
2022-06-26 23:00:00,2022-06-26 22:00:00,2,0,0.18986362,1,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-3,-4,0.18769784,2,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,0,-1,0.15879418,3,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-4,-3,0.12454485,4,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,0,0,0.12130735,5,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-1,-1,0.118129045,6,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-2,-2,0.09596815,7,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-1,0,0.079150416,8,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-2,-4,0.058045458,9,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-2,-3,0.057524066,10,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,6,-4,0.05120336,11,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,1,0,0.049033552,12,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,1,-1,0.039844595,13,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-2,0,0.038556788,14,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-5,-1,0.036176354,15,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,0,12,0.035388608,16,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-4,-2,0.015359047,17,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-9,-5,0.013920051,18,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,6,-3,0.012778324,19,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,5,-2,0.012128989,20,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,2,-1,0.00974666,21,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-3,0,0.009232002,22,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-3,-2,0.008183977,23,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-2,-1,0.0075225024,24,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-3,-1,0.0063037477,25,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,0,-2,0.006248927,26,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,0,1,0.0052037444,27,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,2,1,0.005140502,28,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-3,-3,0.004559636,29,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,7,-4,0.0044734273,30,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-4,-1,0.0044516497,31,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,0,8,0.004159922,32,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-5,1,0.0038096511,33,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-1,-2,0.0034931388,34,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,0,17,0.0032568646,35,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-5,-2,0.0031536277,36,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,7,4,0.0029988296,37,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-1,7,0.0020664718,38,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-4,0,0.0019330144,39,2022-01-01
2022-06-26 23:00:00,2022-06-26 22:00:00,-6,8,0.0016509863,40,2022-01-01
