grid_x,grid_y,center_latitude,center_longitude
-12,-5,35.91590325447802,126.85619720574316
-11,-6,35.90685675547313,126.86729484002636
-11,-5,35.91590325447802,126.86729484002636
-10,-4,35.9249497534829,126.87839247430956
-10,-3,35.93399625248779,126.87839247430956
-10,8,36.03350774154152,126.87839247430956
-10,10,36.05160073955129,126.87839247430956
-9,-5,35.91590325447802,126.88949010859277
-9,-4,35.9249497534829,126.88949010859277
-9,-1,35.95208925049756,126.88949010859277
-9,0,35.96113574950244,126.88949010859277
-9,6,36.01541474353175,126.88949010859277
-8,6,36.01541474353175,126.90058774287597
-7,-1,35.95208925049756,126.91168537715917
-7,1,35.97018224850733,126.91168537715917
-6,-3,35.93399625248779,126.92278301144238
-6,-2,35.94304275149267,126.92278301144238
-6,1,35.97018224850733,126.92278301144238
-6,4,35.99732174552198,126.92278301144238
-6,8,36.03350774154152,126.92278301144238
-6,15,36.09683323457572,126.92278301144238
-5,-5,35.91590325447802,126.93388064572558
-5,-4,35.9249497534829,126.93388064572558
-5,-3,35.93399625248779,126.93388064572558
-5,-2,35.94304275149267,126.93388064572558
-5,-1,35.95208925049756,126.93388064572558
-5,0,35.96113574950244,126.93388064572558
-5,1,35.97018224850733,126.93388064572558
-5,2,35.97922874751221,126.93388064572558
-5,4,35.99732174552198,126.93388064572558
-5,9,36.04255424054641,126.93388064572558
-5,10,36.05160073955129,126.93388064572558
-5,11,36.06064723855618,126.93388064572558
-5,15,36.09683323457572,126.93388064572558
-4,-5,35.91590325447802,126.94497828000878
-4,-4,35.9249497534829,126.94497828000878
-4,-3,35.93399625248779,126.94497828000878
-4,-2,35.94304275149267,126.94497828000878
-4,-1,35.95208925049756,126.94497828000878
-4,0,35.96113574950244,126.94497828000878
-4,2,35.97922874751221,126.94497828000878
-4,3,35.9882752465171,126.94497828000878
-4,4,35.99732174552198,126.94497828000878
-4,5,36.00636824452687,126.94497828000878
-4,8,36.03350774154152,126.94497828000878
-4,10,36.05160073955129,126.94497828000878
-4,12,36.06969373756106,126.94497828000878
-4,17,36.11492623258549,126.94497828000878
-4,19,36.13301923059526,126.94497828000878
-3,-4,35.9249497534829,126.95607591429199
-3,-3,35.93399625248779,126.95607591429199
-3,-2,35.94304275149267,126.95607591429199
-3,-1,35.95208925049756,126.95607591429199
-3,0,35.96113574950244,126.95607591429199
-3,1,35.97018224850733,126.95607591429199
-3,2,35.97922874751221,126.95607591429199
-3,7,36.02446124253664,126.95607591429199
-3,8,36.03350774154152,126.95607591429199
-3,9,36.04255424054641,126.95607591429199
-3,11,36.06064723855618,126.95607591429199
-3,12,36.06969373756106,126.95607591429199
-3,13,36.07874023656595,126.95607591429199
-3,14,36.08778673557083,126.95607591429199
-3,15,36.09683323457572,126.95607591429199
-3,18,36.12397273159037,126.95607591429199
-2,-5,35.91590325447802,126.96717354857519
-2,-4,35.9249497534829,126.96717354857519
-2,-3,35.93399625248779,126.96717354857519
-2,-2,35.94304275149267,126.96717354857519
-2,-1,35.95208925049756,126.96717354857519
-2,0,35.96113574950244,126.96717354857519
-2,1,35.97018224850733,126.96717354857519
-2,3,35.9882752465171,126.96717354857519
-2,8,36.03350774154152,126.96717354857519
-2,9,36.04255424054641,126.96717354857519
-2,10,36.05160073955129,126.96717354857519
-2,11,36.06064723855618,126.96717354857519
-2,13,36.07874023656595,126.96717354857519
-2,15,36.09683323457572,126.96717354857519
-2,16,36.1058797335806,126.96717354857519
-1,-7,35.89781025646825,126.97827118285839
-1,-6,35.90685675547313,126.97827118285839
-1,-4,35.9249497534829,126.97827118285839
-1,-3,35.93399625248779,126.97827118285839
-1,-2,35.94304275149267,126.97827118285839
-1,-1,35.95208925049756,126.97827118285839
-1,0,35.96113574950244,126.97827118285839
-1,1,35.97018224850733,126.97827118285839
-1,2,35.97922874751221,126.97827118285839
-1,3,35.9882752465171,126.97827118285839
-1,5,36.00636824452687,126.97827118285839
-1,6,36.01541474353175,126.97827118285839
-1,7,36.02446124253664,126.97827118285839
-1,8,36.03350774154152,126.97827118285839
-1,9,36.04255424054641,126.97827118285839
-1,11,36.06064723855618,126.97827118285839
-1,13,36.07874023656595,126.97827118285839
-1,15,36.09683323457572,126.97827118285839
-1,16,36.1058797335806,126.97827118285839
-1,18,36.12397273159037,126.97827118285839
0,-6,35.90685675547313,126.9893688171416
