event_hour,hour,grid_x,grid_y,risk_score,rank,train_end
2023-07-05 22:00:00,2023-07-05 21:00:00,9,3,0.00014777637,60,2023-01-01
2023-07-05 22:00:00,2023-07-05 21:00:00,0,1,0.00014032873,61,2023-01-01
2023-07-05 22:00:00,2023-07-05 21:00:00,1,-7,0.00013795629,62,2023-01-01
2023-07-05 22:00:00,2023-07-05 21:00:00,-10,8,0.00013648067,63,2023-01-01
2023-07-05 22:00:00,2023-07-05 21:00:00,1,8,0.0001346931,64,2023-01-01
2023-07-05 22:00:00,2023-07-05 21:00:00,-1,13,0.00012818525,65,2023-01-01
2023-07-05 22:00:00,2023-07-05 21:00:00,10,3,0.00012261748,66,2023-01-01
2023-07-05 22:00:00,2023-07-05 21:00:00,-1,9,0.000120193115,67,2023-01-01
2023-07-05 22:00:00,2023-07-05 21:00:00,-4,-5,0.00011832832,68,2023-01-01
2023-07-05 22:00:00,2023-07-05 21:00:00,-1,8,0.000111607915,69,2023-01-01
2023-07-05 22:00:00,2023-07-05 21:00:00,-5,-5,0.00010591442,70,2023-01-01
2023-07-05 22:00:00,2023-07-05 21:00:00,10,0,0.00010381705,71,2023-01-01
2023-07-05 22:00:00,2023-07-05 21:00:00,1,-2,0.000102543876,72,2023-01-01
2023-07-05 22:00:00,2023-07-05 21:00:00,3,1,9.68108e-05,73,2023-01-01
2023-07-05 22:00:00,2023-07-05 21:00:00,9,1,9.679742e-05,74,2023-01-01
2023-07-05 22:00:00,2023-07-05 21:00:00,-1,-4,9.6642005e-05,75,2023-01-01
2023-07-05 22:00:00,2023-07-05 21:00:00,9,2,9.424254e-05,76,2023-01-01
2023-07-05 22:00:00,2023-07-05 21:00:00,4,-6,9.17863e-05,77,2023-01-01
2023-07-05 22:00:00,2023-07-05 21:00:00,5,-3,9.1597285e-05,78,2023-01-01
2023-07-05 22:00:00,2023-07-05 21:00:00,0,-6,9.092861e-05,79,2023-01-01
2023-07-05 22:00:00,2023-07-05 21:00:00,6,6,9.019652e-05,80,2023-01-01
2023-07-05 22:00:00,2023-07-05 21:00:00,-4,19,8.945306e-05,81,2023-01-01
