event_hour,hour,grid_x,grid_y,risk_score,rank,train_end
2021-08-05 00:00:00,2021-08-04 23:00:00,0,0,0.47487178,1,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,0,12,0.47312608,2,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-2,-4,0.4036539,3,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-4,-2,0.37706792,4,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-2,-3,0.306311,5,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-3,-4,0.26210502,6,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-1,0,0.23029242,7,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-1,-1,0.19655494,8,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-2,0,0.17995858,9,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,1,0,0.16130793,10,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-4,-3,0.123604916,11,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,0,-1,0.119085945,12,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-5,-2,0.08611,13,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,2,0,0.077166274,14,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-2,-2,0.075547166,15,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-5,-1,0.06878512,16,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-2,-1,0.055891603,17,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-3,-3,0.05498846,18,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-4,-1,0.029479591,19,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,6,-4,0.028423823,20,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,2,1,0.025446698,21,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-4,0,0.022783404,22,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,1,-1,0.020119956,23,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-3,0,0.01545659,24,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-3,-2,0.015314958,25,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-1,-2,0.013028715,26,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,2,-1,0.010277161,27,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-1,-3,0.010073737,28,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-5,-3,0.008807797,29,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,0,-2,0.0030801054,30,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,0,17,0.0030320592,31,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-4,4,0.00270191,32,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,6,-3,0.0025556372,33,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-3,-1,0.0025351767,34,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-4,5,0.0023302345,35,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-5,1,0.0022400257,36,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-1,1,0.0013995147,37,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-3,9,0.0011412568,38,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,1,19,0.0011103023,39,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,2,8,0.0010952984,40,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,7,-5,0.000969789,41,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-6,1,0.0009353957,42,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,4,-1,0.00085066305,43,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,-3,1,0.0007524739,44,2021-01-01
2021-08-05 00:00:00,2021-08-04 23:00:00,1,5,0.00073987106,45,2021-01-01
