event_hour,hour,grid_x,grid_y,risk_score,rank,train_end
2025-08-08 23:00:00,2025-08-08 22:00:00,10,5,0.00020060164,60,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-9,6,0.00019960834,61,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,0,13,0.00019742998,62,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-2,13,0.00019733747,63,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,7,-5,0.00019630425,64,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,4,-1,0.00019160571,65,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-3,11,0.00018623967,66,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-9,-4,0.00018416975,67,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-4,19,0.0001823404,68,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-10,8,0.00018194248,69,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,6,6,0.00017976819,70,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-6,-2,0.0001794698,71,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-10,10,0.00017722619,72,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,6,5,0.00017679257,73,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-9,-1,0.00017557955,74,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-6,-3,0.00017264108,75,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-8,6,0.0001713725,76,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-9,-5,0.00017025419,77,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-7,1,0.00016776372,78,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-5,1,0.00016502575,79,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,10,3,0.00016466551,80,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,3,1,0.00016244587,81,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-6,1,0.00016046078,82,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-7,-1,0.00016008918,83,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-4,2,0.00016005877,84,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-3,2,0.00016005877,85,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-1,3,0.00015947114,86,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-5,2,0.0001594509,87,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-2,3,0.00015900201,88,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-5,0,0.00015396345,89,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-4,3,0.00015396126,90,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-1,2,0.00015395116,91,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-4,0,0.00015391129,92,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,1,2,0.00015213928,93,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,6,3,0.00015164194,94,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,8,-1,0.00014817642,95,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,2,20,0.00014584638,96,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,9,0,0.00014465296,97,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,1,20,0.00014404922,98,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,10,0,0.00014358328,99,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-5,4,0.00014116395,100,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,9,-2,0.0001409345,101,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,10,-1,0.00013844091,102,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,5,3,0.00013777176,103,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-4,-4,0.00013475769,104,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,7,-1,0.00013436715,105,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,1,1,0.00013226707,106,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,0,19,0.00013121292,107,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,3,17,0.00013090977,108,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,2,1,0.00013043544,109,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,0,18,0.00013037116,110,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-1,18,0.00013024907,111,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,1,19,0.00012958115,112,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-5,-4,0.00012733354,113,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-3,18,0.00012460977,114,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,7,11,0.00012385235,115,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-5,10,0.0001203503,116,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-5,-5,0.000120064564,117,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-4,17,0.00011992065,118,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-6,8,0.00011905874,119,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-5,-3,0.000119010445,120,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-4,-5,0.00011855638,121,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,2,8,0.00011775701,122,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-5,11,0.00011724601,123,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-2,1,0.000117089825,124,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-5,9,0.00011659282,125,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-6,15,0.00011508383,126,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-5,15,0.00011448292,127,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,6,11,0.000113768794,128,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-1,1,0.00011285277,129,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-3,7,0.00011240804,130,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,0,-3,0.00011236144,131,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,7,1,0.00011189866,132,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-4,8,0.00011158368,133,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,2,7,0.00011103358,134,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-3,15,0.0001108074,135,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,1,5,0.00011017328,136,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-1,5,0.000109883054,137,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,0,5,0.000109883054,138,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,1,6,0.00010804785,139,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,4,14,0.00010778103,140,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,1,11,0.00010759818,141,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-4,10,0.00010731572,142,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-1,8,0.00010700594,143,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,5,2,0.000106849744,144,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-3,0,0.000106682855,145,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,2,9,0.00010662165,146,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-2,15,0.00010658067,147,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-4,12,0.00010543916,148,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,4,1,0.00010524862,149,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-1,6,0.00010507336,150,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-4,5,0.000104886094,151,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,0,9,0.00010437299,152,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-2,8,0.00010273075,153,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,1,9,0.000102393504,154,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-1,13,0.0001005802,155,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,0,14,9.993752e-05,156,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-1,9,9.958719e-05,157,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-3,14,9.919516e-05,158,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,4,-6,9.8946504e-05,159,2025-01-01
