hour,grid_x,grid_y,center_latitude,center_longitude,city_quiet_3h,wind_from_deg,wind_speed,upwind_share_eea,upwind_eea_6km,target,risk_score,rank,relative_risk,arm
2025-01-01 09:00:00,9,1,35.97018224850733,127.08924752569042,1,76.86977924991248,0.8818180760237767,,,0,0.009571733,1,100,R5
2025-01-01 09:00:00,0,0,35.96113574950244,126.9893688171416,1,62.490479095555656,1.4598260294453125,0.23093125994914918,35368.0,0,0.0029370736,2,31,R5
2025-01-01 09:00:00,-11,-5,35.91590325447802,126.86729484002636,1,77.63479308992441,0.9879620756746824,,,0,0.0022613404,3,24,R5
2025-01-01 09:00:00,3,-2,35.94304275149267,127.0226617199912,1,63.297445862320956,1.4681552974650505,0.42765029451324144,115257.09999999998,0,0.0017259222,4,18,R5
2025-01-01 09:00:00,-2,-3,35.93399625248779,126.96717354857519,1,62.65797724998254,1.5028724220403569,0.3297051321244431,27286.1,0,0.0013600313,5,14,R5
2025-01-01 09:00:00,-12,-5,35.91590325447802,126.85619720574316,1,75.62984177240423,0.9710463638091296,,,0,0.0012910351,6,13,R5
2025-01-01 09:00:00,1,-1,35.95208925049756,127.0004664514248,1,62.040469834560554,1.5393533586271608,0.30464990191932523,45458.0,0,0.0012141747,7,13,R5
2025-01-01 09:00:00,0,-2,35.94304275149267,126.9893688171416,1,61.70270880668937,1.579793133266518,0.361471965507967,35346.5,0,0.0010995176,8,11,R5
2025-01-01 09:00:00,-4,-3,35.93399625248779,126.94497828000878,1,65.12879580105499,1.3254616197538251,0.21651236110227778,11915.0,0,0.00090775563,9,9,R5
2025-01-01 09:00:00,1,0,35.96113574950244,127.0004664514248,1,62.610736961599,1.4539046718791182,0.16284027768524564,26886.199999999997,0,0.00080652046,10,8,R5
2025-01-01 18:00:00,9,1,35.97018224850733,127.08924752569042,1,265.5757683833276,1.7052389467410431,0.24940449177283786,58748.49999999999,0,0.0070721046,1,100,R5
2025-01-01 18:00:00,0,17,36.11492623258549,126.9893688171416,1,268.5152627375926,1.1763836097296052,0.12410403597415726,69650.3,0,0.0012583255,2,18,R5
2025-01-01 18:00:00,3,-2,35.94304275149267,127.0226617199912,1,263.76872819122406,2.3267687446982444,0.044257687491303745,11928.0,0,0.0012208619,3,17,R5
2025-01-01 18:00:00,-11,-6,35.90685675547313,126.86729484002636,1,276.8742220860525,1.3867496389687386,0.0004747110092627823,108.3,0,0.0009198338,4,13,R5
2025-01-01 18:00:00,6,-3,35.93399625248779,127.05595462284082,1,265.46721452826966,2.0165940332052172,0.18382093451062645,47035.2,0,0.00075045833,5,11,R5
2025-01-01 18:00:00,-4,-3,35.93399625248779,126.94497828000878,1,265.7848034601805,2.0883328036675883,0.09066443764026058,4989.400000000001,0,0.00063459564,6,9,R5
2025-01-01 18:00:00,7,-5,35.91590325447802,127.06705225712402,1,266.753483458242,1.8860204973858812,0.055389372227908566,12987.7,0,0.00059919275,7,8,R5
2025-01-01 18:00:00,0,-2,35.94304275149267,126.9893688171416,1,263.12932888025284,2.47229779381457,0.004080384599258168,399.0,0,0.0004897368,8,7,R5
2025-01-01 18:00:00,0,0,35.96113574950244,126.9893688171416,1,263.7762361762524,2.3174117688284563,0.007071323075235483,1083.0,0,0.00046163518,9,7,R5
2025-01-01 18:00:00,0,8,36.03350774154152,126.9893688171416,1,267.7273494288055,1.3037867975234998,0.1953334438293046,114199.09999999999,0,0.00045056726,10,6,R5
2025-01-01 20:00:00,9,1,35.97018224850733,127.08924752569042,0,148.21413650485192,0.33062929985299394,,,0,0.022599295,1,100,R5
2025-01-01 20:00:00,0,0,35.96113574950244,126.9893688171416,0,3.5733499794708905,0.15152006914915583,,,0,0.015199355,2,67,R5
2025-01-01 20:00:00,-4,4,35.99732174552198,126.94497828000878,0,359.1819469392992,0.2922289987636388,,,0,0.0061899074,3,27,R5
2025-01-01 20:00:00,0,-2,35.94304275149267,126.9893688171416,0,0.47760234821896574,0.10992767712398409,,,0,0.0050621023,4,22,R5
2025-01-01 20:00:00,1,0,35.96113574950244,127.0004664514248,0,5.681164722658195,0.15335019400634942,,,0,0.0045144446,5,20,R5
2025-01-01 20:00:00,-2,-3,35.93399625248779,126.96717354857519,0,359.75787104553353,0.15421528753802852,,,1,0.0043537337,6,19,R5
2025-01-01 20:00:00,3,-2,35.94304275149267,127.0226617199912,0,17.662001330121825,0.1668448682914675,,,0,0.0036807086,7,16,R5
2025-01-01 20:00:00,1,-1,35.95208925049756,127.0004664514248,0,2.124521923008672,0.1258684549430806,,,0,0.0031793173,8,14,R5
2025-01-01 20:00:00,-1,0,35.96113574950244,126.97827118285839,0,2.808946724251655,0.16317751568817346,,,0,0.002767111,9,12,R5
2025-01-01 20:00:00,0,-1,35.95208925049756,126.9893688171416,0,1.198897360205308,0.12257251074037555,,,0,0.0025104468,10,11,R5
2025-01-02 08:00:00,9,1,35.97018224850733,127.08924752569042,1,64.4197316168462,0.2272977235651461,,,0,0.01329987,1,100,R5
2025-01-02 08:00:00,-2,-3,35.93399625248779,126.96717354857519,1,8.097050479128825,0.2123167035652371,,,0,0.00974629,2,73,R5
2025-01-02 08:00:00,0,0,35.96113574950244,126.9893688171416,1,7.946780090909556,0.20526777402766067,,,0,0.00627258,3,47,R5
2025-01-02 08:00:00,-11,-5,35.91590325447802,126.86729484002636,1,48.08638087329899,0.3735596970752677,,,0,0.0027374953,4,21,R5
2025-01-02 08:00:00,1,0,35.96113574950244,127.0004664514248,1,8.54476268708811,0.2058118226002166,,,0,0.0024997878,5,19,R5
2025-01-02 08:00:00,-4,-3,35.93399625248779,126.94497828000878,1,23.413054083571183,0.23456565440736327,,,0,0.0023335468,6,18,R5
2025-01-02 08:00:00,-4,4,35.99732174552198,126.94497828000878,1,34.55912262175639,0.14786183563672994,,,0,0.0021651862,7,16,R5
2025-01-02 08:00:00,0,-2,35.94304275149267,126.9893688171416,1,1.4474625008297153,0.2019853000168973,,,1,0.0021512427,8,16,R5
2025-01-02 08:00:00,-3,-4,35.9249497534829,126.95607591429199,1,18.96818367214712,0.23168206187627413,,,0,0.0020301992,9,15,R5
2025-01-02 08:00:00,1,-1,35.95208925049756,127.0004664514248,1,3.9333611771424444,0.2042161367679487,,,0,0.0019988131,10,15,R5
2025-01-04 19:00:00,9,1,35.97018224850733,127.08924752569042,1,89.83219409046433,0.6626608357202117,,,0,0.06469215,1,100,R5
2025-01-04 19:00:00,3,-2,35.94304275149267,127.0226617199912,1,101.4982529805223,1.1043601457630217,0.5566420852465098,150021.99999999997,0,0.020579195,2,32,R5
2025-01-04 19:00:00,0,0,35.96113574950244,126.9893688171416,1,101.4781314211973,1.1119712381335558,0.41783031175197743,63992.299999999996,0,0.013560963,3,21,R5
2025-01-04 19:00:00,-2,-3,35.93399625248779,126.96717354857519,1,101.74829744128522,1.141741961842847,0.5057171960545728,41852.7,0,0.007846534,4,12,R5
2025-01-04 19:00:00,0,-2,35.94304275149267,126.9893688171416,1,102.77603616177146,1.1869555469995188,0.5285969510629964,51688.799999999996,0,0.0073678023,5,11,R5
2025-01-04 19:00:00,1,0,35.96113574950244,127.0004664514248,1,101.42986152402818,1.1054817692614594,0.34239993507272215,56532.899999999994,1,0.0052471147,6,8,R5
2025-01-04 19:00:00,-4,-3,35.93399625248779,126.94497828000878,1,98.85484830933507,1.0510692129865586,0.22451686761218576,12355.5,0,0.005238928,7,8,R5
2025-01-04 19:00:00,1,-1,35.95208925049756,127.0004664514248,1,102.35570895328095,1.1601224801487768,0.4593305315389518,68538.5,0,0.0050184806,8,8,R5
2025-01-04 19:00:00,-4,4,35.99732174552198,126.94497828000878,1,87.57543379845373,0.6857675426193242,,,0,0.0036489915,9,6,R5
2025-01-04 19:00:00,0,-1,35.95208925049756,126.9893688171416,1,102.43008730991306,1.1663436428770146,0.5005412650599703,55716.899999999994,0,0.0035229728,10,5,R5
2025-01-06 09:00:00,9,1,35.97018224850733,127.08924752569042,1,287.4258224787114,1.9998354652111314,0.12171844294604534,28671.4,0,0.0024265032,1,100,R5
2025-01-06 09:00:00,0,8,36.03350774154152,126.9893688171416,1,299.3059915696731,1.0791531776045271,0.39412048542282757,230417.3,0,0.001236593,2,51,R5
2025-01-06 09:00:00,0,17,36.11492623258549,126.9893688171416,1,306.71860496320744,0.8655680012334345,,,0,0.0006159481,3,25,R5
2025-01-06 09:00:00,3,-2,35.94304275149267,127.0226617199912,1,284.8217567907422,2.8340677847536493,0.05774129214785956,15561.999999999998,0,0.0005140724,4,21,R5
2025-01-06 09:00:00,0,0,35.96113574950244,126.9893688171416,1,285.06141772663295,2.792583482779962,0.022516581371144564,3448.5,0,0.000464106,5,19,R5
2025-01-06 09:00:00,-4,4,35.99732174552198,126.94497828000878,1,293.56961930289117,1.505038833344149,0.1498810099727607,40679.1,1,0.00041524833,6,17,R5
