순번,업체명,소재지(원문),정제주소,lat,lon,geocode_method,n_parcels,사육업종,사육두수,시설면적,영업상태,신고일자
30,뿌리목장,전북특별자치도 익산시 망성면 어량리 263번지 35호  ,전북특별자치도 익산시 망성면 어량리 263-35,36.105667711543,127.041864435245,지번정확,1,육우,35,1424.89,정상,2005-03-04
31,오성농장,전북특별자치도 익산시 오산면 영만리 460번지 26호  ,전북특별자치도 익산시 오산면 영만리 460-26,35.9728875230789,126.907273889736,지번정확,1,한우,70,3331.64,정상,2005-03-04
32,신기농장,전북특별자치도 익산시 성당면 장선리 385번지  ,전북특별자치도 익산시 성당면 장선리 385,36.080931887109,126.932699228738,지번정확,1,한우,40,393.75,정상,2005-03-04
33,마우농장,전북특별자치도 익산시 함열읍 남당리 792번지 9호  ,전북특별자치도 익산시 함열읍 남당리 792-9,36.0776029196508,126.981379350774,지번정확,1,한우,114,1072,정상,2005-03-16
34,구자 오산 2농장,전북특별자치도 익산시 황등면 구자리 7번지 104호  ,전북특별자치도 익산시 황등면 구자리 7-104,36.0431416318666,126.930435992274,지번정확,1,한우,46,1090,정상,2005-03-16
35,태광농장,전북특별자치도 익산시 함열읍 석매리 1233번지 3호  ,전북특별자치도 익산시 함열읍 석매리 1233-3,36.0579417604016,126.953334763277,지번정확,1,한우,90,980,정상,2005-03-16
36,신성목장,전북특별자치도 익산시 황등면 신성리 549번지 1호  ,전북특별자치도 익산시 황등면 신성리 549-1,36.0383799303934,126.930944951745,지번정확,1,한우,11,545.76,정상,2005-03-16
37,오천농장,전북특별자치도 익산시 춘포면 천서리 313번지  ,전북특별자치도 익산시 춘포면 천서리 313,35.9451537424669,127.036233426059,리중심,1,한우,150,1215.5,정상,2005-03-16
38,일신농장,전북특별자치도 익산시 망성면 어량리 1383번지  ,전북특별자치도 익산시 망성면 어량리 1383,36.1087334587129,127.026007178934,지번정확,1,한우,25,1029.6,정상,2005-03-16
39,다송농장,전북특별자치도 익산시 함열읍 다송리 733번지 1호  ,전북특별자치도 익산시 함열읍 다송리 733-1,36.0397121255044,126.951100698401,지번정확,1,한우,80,1566,정상,2005-03-16
40,남당농장,전북특별자치도 익산시 함열읍 남당리 228번지 214호  ,전북특별자치도 익산시 함열읍 남당리 228-214,36.072255726942,126.975978495283,지번정확,1,한우,31,1200.48,정상,2005-03-16
41,고O숙농장,전북특별자치도 익산시 함열읍 석매리 69번지 2호  ,전북특별자치도 익산시 함열읍 석매리 69-2,36.0560810680966,126.967783616376,지번정확,1,한우,82,1362,정상,2005-03-16
42,근노농장,전북특별자치도 익산시 성당면 장선리 206-2번지 ,전북특별자치도 익산시 성당면 장선리 206-2,36.0922299215829,126.936616818471,지번정확,1,한우,45,407,정상,2005-03-16
43,나눔농장,전북특별자치도 익산시 황등면 구자리 104번지 2호  ,전북특별자치도 익산시 황등면 구자리 104-2,36.0393961220016,126.923893152982,지번정확,1,돼지,850,1322.3,정상,2005-03-16
44,구자 오산1농장,전북특별자치도 익산시 황등면 구자리 7번지 85호  ,전북특별자치도 익산시 황등면 구자리 7-85,36.043711191552,126.930876155677,지번정확,1,돼지,300,1116.4,정상,2005-03-16
45,전O자농장,"전북특별자치도 익산시 함열읍 석매리 69번지 37호 , 69-38 ",전북특별자치도 익산시 함열읍 석매리 69-37,36.0560624624844,126.966972856639,첫필지,2,한우,80,1764,정상,2005-03-16
46,씨알농장,전북특별자치도 익산시 황등면 죽촌리 12번지 9호  ,전북특별자치도 익산시 황등면 죽촌리 12-9,36.0317315954717,126.94434044255,지번정확,1,돼지,2300,2172.97,정상,2005-03-16
47,무곡농장,전북특별자치도 익산시 망성면 신작리 569번지  ,전북특별자치도 익산시 망성면 신작리 569,36.1369373525242,127.016299298663,지번정확,1,돼지,2750,2872.52,정상,2005-03-16
48,심O보농장,전북특별자치도 익산시 함열읍 석매리 822번지 1호  ,전북특별자치도 익산시 함열읍 석매리 822-1,36.0542885246929,126.954668302023,지번정확,1,한우,50,1077.77,정상,2005-03-16
