폴드,표본,모델,ROC-AUC(후보내),PR-AUC(후보내),Hit@3(후보내),Recall@3(후보내),Hit@3(전체),Recall@3(전체),평가 Event 수(후보내),평가 Event 수(전체),테스트 Event 수,양성률
2021-01~2021-12,충분,기준선 무작위,0.5,0.08790288823775638,0.2812373359685174,0.09817440417090158,0.2767732512706044,0.08361651383237613,62,63,71,0.08790288823775638
2021-01~2021-12,충분,기준선 초기민원수 상위3,0.6850750671998951,0.22923190345376357,0.7319892473118279,0.37230510752688173,0.7203703703703703,0.30570011337868475,62,63,71,0.08790288823775638
2021-01~2021-12,충분,기준선 prior만,0.8437575121833956,0.3068636232190531,0.6364764267990074,0.3731251723187207,0.6263736263736264,0.31670009884295597,62,63,71,0.08790288823775638
2021-01~2021-12,충분,XGB 기존15변수(LOO prior),0.8213214886688958,0.3465447425660999,0.6935483870967742,0.3939068100358422,0.6825396825396826,0.3251889644746787,62,63,71,0.08790288823775638
2021-01~2021-12,충분,XGB 15변수+이력,0.835909875652877,0.3526240754161261,0.6935483870967742,0.4132616487455197,0.6825396825396826,0.3417422524565381,62,63,71,0.08790288823775638
2022-01~2022-12,충분,기준선 무작위,0.5,0.09246575342465753,0.2922906847970721,0.1071044647606225,0.27605231341945685,0.09217848696091199,34,36,40,0.09246575342465753
2022-01~2022-12,충분,기준선 초기민원수 상위3,0.7078572676450036,0.25695252952237707,0.7686274509803921,0.3925595238095238,0.7259259259259259,0.33624889770723104,34,36,40,0.09246575342465753
2022-01~2022-12,충분,기준선 prior만,0.8766116352201258,0.3924322837280609,0.75,0.4310224089635854,0.7083333333333334,0.38408289241622573,34,36,40,0.09246575342465753
2022-01~2022-12,충분,XGB 기존15변수(LOO prior),0.8980957372466807,0.4668724446187534,0.7352941176470589,0.43620448179271704,0.6944444444444444,0.3866622574955908,34,36,40,0.09246575342465753
2022-01~2022-12,충분,XGB 15변수+이력,0.903275681341719,0.46476509879464045,0.7352941176470589,0.43200280112044814,0.6944444444444444,0.3826940035273368,34,36,40,0.09246575342465753
2023-07~2023-12,작음(참고용),기준선 무작위,0.5,0.05379746835443038,0.18122174325782167,0.0882846434648088,0.18122174325782167,0.07395258599926581,7,7,9,0.05379746835443038
