gap_before_min,n_init_reports,n_init_locs,n_init_grids,n_future_reports,complete,n_candidates,n_positive_cells,n_future_cells,n_outside_cells,n_future_reports_outside,cov_cells_r1,cov_cells_r2,cov_cells_r3,cov_cells_r4,t0_override,t_pred_min,lead_gain_min,t0,event_id,has_positive,has_future,outside_only
344.0,8,6,2,0,True,26,0,0,0,0,0,0,0,0,26017055,26017085,1,2019-06-20 09:35:00,EV2-0001,False,False,False
9.0,6,6,5,5,True,39,2,2,0,0,2,2,2,2,26049627,26049657,1,2019-07-13 00:27:00,EV2-0002,True,True,False
20.0,7,7,4,10,True,33,7,7,0,0,6,7,7,7,26050075,26050105,11,2019-07-13 07:55:00,EV2-0003,True,True,False
74.0,6,6,4,3,True,40,0,3,3,3,0,0,1,2,26053687,26053717,8,2019-07-15 20:07:00,EV2-0004,False,True,True
3.0,6,6,4,1,True,35,0,1,1,1,0,0,0,1,26058233,26058263,1,2019-07-18 23:53:00,EV2-0005,False,True,True
32.0,6,6,4,22,True,34,7,8,1,1,6,7,8,8,26062448,26062478,18,2019-07-21 22:08:00,EV2-0006,True,True,False
6.0,6,6,6,6,True,39,4,4,0,0,4,4,4,4,26064328,26064358,19,2019-07-23 05:28:00,EV2-0007,True,True,False
26.0,7,6,6,13,True,47,6,6,0,0,4,6,6,6,26064401,26064431,17,2019-07-23 06:41:00,EV2-0008,True,True,False
3.0,13,11,9,2,True,64,2,2,0,0,2,2,2,2,26064465,26064495,0,2019-07-23 07:45:00,EV2-0009,True,True,False
2.0,6,6,5,38,True,39,14,14,0,0,10,14,14,14,26065373,26065403,0,2019-07-23 22:53:00,EV2-0010,True,True,False
137.0,6,6,5,5,True,35,4,4,0,0,3,4,4,4,26065828,26065858,1,2019-07-24 06:28:00,EV2-0011,True,True,False
13.0,6,6,6,8,True,50,7,7,0,0,5,7,7,7,26065910,26065940,10,2019-07-24 07:50:00,EV2-0012,True,True,False
198.0,6,6,4,1,True,28,1,1,0,0,1,1,1,1,26066369,26066399,15,2019-07-24 15:29:00,EV2-0013,True,True,False
12.0,6,6,6,8,True,37,5,5,0,0,4,5,5,5,26068791,26068821,3,2019-07-26 07:51:00,EV2-0014,True,True,False
73.0,6,6,4,8,True,24,6,7,1,1,4,6,6,6,26069672,26069702,3,2019-07-26 22:32:00,EV2-0015,True,True,False
121.0,6,6,4,20,True,34,6,8,2,2,5,6,7,8,26072598,26072628,5,2019-07-28 23:18:00,EV2-0016,True,True,False
3.0,17,17,11,9,True,45,7,7,0,0,6,7,7,7,26072658,26072688,0,2019-07-29 00:18:00,EV2-0017,True,True,False
55.0,6,6,3,13,True,31,6,6,0,0,5,6,6,6,26073895,26073925,20,2019-07-29 20:55:00,EV2-0018,True,True,False
6.0,7,7,5,2,True,39,1,1,0,0,1,1,1,1,26073956,26073986,0,2019-07-29 21:56:00,EV2-0019,True,True,False
8.0,6,6,5,8,True,41,5,5,0,0,4,5,5,5,26074105,26074135,1,2019-07-30 00:25:00,EV2-0020,True,True,False
3.0,7,7,5,8,True,35,5,6,1,1,5,5,5,6,26074166,26074196,1,2019-07-30 01:26:00,EV2-0021,True,True,False
10.0,7,7,4,1,True,24,1,1,0,0,1,1,1,1,26074227,26074257,4,2019-07-30 02:27:00,EV2-0022,True,True,False
8.0,7,6,3,14,True,21,7,7,0,0,5,7,7,7,26075337,26075367,8,2019-07-30 20:57:00,EV2-0023,True,True,False
38.0,6,6,4,4,True,28,3,3,0,0,3,3,3,3,26075766,26075796,8,2019-07-31 04:06:00,EV2-0024,True,True,False
24.0,6,6,5,4,True,34,3,3,0,0,2,3,3,3,26076850,26076880,17,2019-07-31 22:10:00,EV2-0025,True,True,False
2.0,6,6,5,21,True,44,8,9,1,1,6,8,9,9,26077311,26077341,9,2019-08-01 05:51:00,EV2-0026,True,True,False
25.0,6,6,4,11,True,34,7,8,1,1,5,7,8,8,26078731,26078761,14,2019-08-02 05:31:00,EV2-0027,True,True,False
388.0,6,6,4,7,True,26,3,3,0,0,3,3,3,3,26080903,26080933,9,2019-08-03 17:43:00,EV2-0028,True,True,False
31.0,6,6,4,13,True,36,5,6,1,2,4,5,5,5,26081090,26081120,2,2019-08-03 20:50:00,EV2-0029,True,True,False
1.0,27,24,6,20,True,30,6,6,0,0,6,6,6,6,26081150,26081180,2,2019-08-03 21:50:00,EV2-0030,True,True,False
4.0,22,20,10,10,True,52,4,4,0,0,4,4,4,4,26081212,26081242,0,2019-08-03 22:52:00,EV2-0031,True,True,False
1.0,10,9,7,19,True,35,5,5,0,0,5,5,5,5,26081277,26081307,0,2019-08-03 23:57:00,EV2-0032,True,True,False
1.0,6,6,5,3,True,32,3,3,0,0,3,3,3,3,26081344,26081374,1,2019-08-04 01:04:00,EV2-0033,True,True,False
10.0,7,6,5,10,True,29,5,7,2,2,4,5,6,6,26085850,26085880,1,2019-08-07 04:10:00,EV2-0034,True,True,False
5.0,6,6,6,2,True,41,2,2,0,0,1,2,2,2,26085914,26085944,6,2019-08-07 05:14:00,EV2-0035,True,True,False
23.0,6,6,4,3,True,24,3,3,0,0,3,3,3,3,26086059,26086089,5,2019-08-07 07:39:00,EV2-0036,True,True,False
309.0,6,6,4,0,True,24,0,0,0,0,0,0,0,0,26087928,26087958,17,2019-08-08 14:48:00,EV2-0037,False,False,False
78.0,6,6,5,4,True,27,4,4,0,0,4,4,4,4,26088035,26088065,15,2019-08-08 16:35:00,EV2-0038,True,True,False
13.0,8,8,7,5,True,47,4,5,1,1,3,4,5,5,26088097,26088127,0,2019-08-08 17:37:00,EV2-0039,True,True,False
78.0,7,6,4,6,True,40,4,4,0,0,2,4,4,4,26088366,26088396,7,2019-08-08 22:06:00,EV2-0040,True,True,False
5.0,9,8,6,9,True,43,4,4,0,0,4,4,4,4,26088426,26088456,11,2019-08-08 23:06:00,EV2-0041,True,True,False
10.0,6,6,5,1,True,49,1,1,0,0,0,1,1,1,26089680,26089710,19,2019-08-09 20:00:00,EV2-0042,True,True,False
9.0,6,6,2,10,True,18,3,4,1,1,2,3,3,4,26090255,26090285,21,2019-08-10 05:35:00,EV2-0043,True,True,False
3.0,6,6,6,8,True,40,6,6,0,0,6,6,6,6,26090320,26090350,4,2019-08-10 06:40:00,EV2-0044,True,True,False
1.0,6,6,3,9,True,21,4,4,0,0,4,4,4,4,26091219,26091249,8,2019-08-10 21:39:00,EV2-0045,True,True,False
50.0,9,6,5,2,True,40,2,2,0,0,2,2,2,2,26094258,26094288,2,2019-08-13 00:18:00,EV2-0046,True,True,False
11.0,6,6,4,3,True,34,3,3,0,0,2,3,3,3,26095920,26095950,6,2019-08-14 04:00:00,EV2-0047,True,True,False
15.0,6,6,6,1,True,36,1,1,0,0,1,1,1,1,26096063,26096093,1,2019-08-14 06:23:00,EV2-0048,True,True,False
