날짜,sensor_anomaly,compound_odor,ammonia,hydrogen_sulfide,complaints
2024-09-02 00:00:00,26.979999999999997,2.3153846153846156,0.04315384615384615,0.004923076923076923,0.0
2024-09-02 00:05:00,26.3055,2.5923076923076924,0.04330769230769231,0.004923076923076923,0.0
2024-09-02 00:10:00,26.64275,2.430769230769231,0.04215384615384616,0.004846153846153846,0.0
2024-09-02 00:15:00,29.34075,2.661538461538462,0.04261538461538462,0.005,0.0
2024-09-02 00:20:00,29.0035,2.730769230769231,0.04261538461538462,0.004923076923076923,0.0
2024-09-02 00:25:00,23.944749999999996,2.5076923076923077,0.04115384615384616,0.005076923076923077,0.0
2024-09-02 00:30:00,23.944749999999996,2.476923076923077,0.04023076923076923,0.005076923076923077,0.0
2024-09-02 00:35:00,24.619249999999997,2.4538461538461536,0.04130769230769231,0.005076923076923077,0.0
2024-09-02 00:40:00,24.619249999999997,2.553846153846154,0.04092307692307692,0.005461538461538462,0.0
2024-09-02 00:45:00,24.9565,2.4615384615384617,0.04115384615384616,0.005384615384615385,0.0
2024-09-02 00:50:00,27.654499999999995,2.3692307692307693,0.04138461538461539,0.0052307692307692315,0.0
2024-09-02 00:55:00,25.630999999999997,2.4538461538461536,0.04038461538461539,0.005307692307692308,0.0
2024-09-02 01:00:00,23.607499999999995,2.4538461538461536,0.03884615384615385,0.0052307692307692315,0.0
2024-09-02 01:05:00,23.944749999999996,2.4384615384615382,0.03869230769230769,0.005153846153846154,0.0
2024-09-02 01:10:00,26.979999999999997,2.569230769230769,0.039384615384615386,0.005923076923076923,0.0
2024-09-02 01:15:00,24.9565,2.5999999999999996,0.03923076923076923,0.006230769230769231,0.0
2024-09-02 01:20:00,23.607499999999995,2.576923076923077,0.03784615384615385,0.00523076923076923,1.0
2024-09-02 01:25:00,22.258499999999998,2.6153846153846154,0.03623076923076923,0.005307692307692308,1.0
2024-09-02 01:30:00,26.64275,2.6538461538461537,0.03907692307692308,0.0052307692307692315,0.0
2024-09-02 01:35:00,19.897750000000002,2.753846153846154,0.036076923076923076,0.005384615384615385,0.0
2024-09-02 01:40:00,18.54875,2.5999999999999996,0.03661538461538462,0.005153846153846154,0.0
2024-09-02 01:45:00,21.584,2.569230769230769,0.03746153846153846,0.0052307692307692315,0.0
2024-09-02 01:50:00,11.4665,2.707692307692308,0.03292307692307692,0.005461538461538462,0.0
2024-09-02 01:55:00,26.3055,2.753846153846154,0.03876923076923077,0.005,1.0
2024-09-02 02:00:00,17.537,2.623076923076923,0.03661538461538462,0.005307692307692308,3.0
2024-09-02 02:05:00,16.862499999999997,2.6923076923076925,0.03546153846153846,0.005692307692307693,1.0
2024-09-02 02:10:00,15.85075,2.707692307692308,0.03476923076923077,0.0052307692307692315,2.0
