k,모델,Hit@3(전체),Recall@3(전체),Hit@3(후보내),PR-AUC(후보내),평가 Event 수(전체)
6,기준선 prior만,0.6805396096440871,0.35810485120186614,0.696124486200822,0.3112998428554877,134
6,XGB 기존15변수(LOO prior),0.7014925373134329,0.36771203506278133,0.7175572519083969,0.3506208968602711,134
6,XGB 15변수+이력,0.7014925373134329,0.3767383321487799,0.7175572519083969,0.36440248891922755,134
7,기준선 prior만,0.7189137027846706,0.3135513232287425,0.7347140039447733,0.3752544087700545,93
7,XGB 기존15변수(LOO prior),0.7741935483870968,0.3584283697186923,0.7912087912087912,0.3964322144550046,93
7,XGB 15변수+이력,0.7526881720430108,0.3390944778041552,0.7692307692307693,0.41131684454357875,93
8,기준선 prior만,0.8057865557865558,0.3458980958980959,0.8168247277836318,0.4479136970694858,74
8,XGB 기존15변수(LOO prior),0.8378378378378378,0.37269412269412266,0.8493150684931506,0.461405886942335,74
8,XGB 15변수+이력,0.8378378378378378,0.36808236808236805,0.8493150684931506,0.4329873802521289,74
