gap_before_min,n_init_reports,n_init_locs,n_init_grids,n_future_reports,complete,n_candidates,n_positive_cells,n_future_cells,n_outside_cells,n_future_reports_outside,cov_cells_r1,cov_cells_r2,cov_cells_r3,cov_cells_r4,t0_override,t_pred_min,lead_gain_min,t0,event_id,has_positive,has_future,outside_only
1.0,12,12,6,2,True,34,2,2,0,0,2,2,2,2,26111476,26111506,0,2019-08-24 23:16:00,EV2-0045,True,True,False
2.0,9,9,9,7,True,40,6,6,0,0,5,6,6,6,26113021,26113051,0,2019-08-26 01:01:00,EV2-0046,True,True,False
3.0,9,7,4,44,True,33,13,13,0,0,9,13,13,13,26117193,26117223,11,2019-08-28 22:33:00,EV2-0047,True,True,False
2.0,10,10,6,11,True,36,7,8,1,1,7,7,8,8,26117254,26117284,3,2019-08-28 23:34:00,EV2-0048,True,True,False
42.0,7,7,3,2,True,28,1,1,0,0,1,1,1,1,26118670,26118700,15,2019-08-29 23:10:00,EV2-0049,True,True,False
4.0,7,7,4,49,True,36,8,10,2,2,7,8,10,10,26119998,26120028,4,2019-08-30 21:18:00,EV2-0050,True,True,False
208.0,7,7,5,6,True,39,5,5,0,0,4,5,5,5,26121476,26121506,10,2019-08-31 21:56:00,EV2-0051,True,True,False
6.0,15,14,6,4,True,39,3,3,0,0,3,3,3,3,26121540,26121570,1,2019-08-31 23:00:00,EV2-0052,True,True,False
9.0,8,8,5,12,True,34,7,7,0,0,6,7,7,7,26125775,26125805,13,2019-09-03 21:35:00,EV2-0053,True,True,False
17.0,9,7,4,4,True,30,3,4,1,1,2,3,4,4,26127012,26127042,8,2019-09-04 18:12:00,EV2-0054,True,True,False
6.0,11,11,5,3,True,34,3,3,0,0,3,3,3,3,26127072,26127102,2,2019-09-04 19:12:00,EV2-0055,True,True,False
17.0,7,7,5,0,True,34,0,0,0,0,0,0,0,0,26127326,26127356,9,2019-09-04 23:26:00,EV2-0056,False,False,False
11.0,8,8,7,4,True,44,4,4,0,0,4,4,4,4,26127900,26127930,17,2019-09-05 09:00:00,EV2-0057,True,True,False
3.0,8,8,4,2,True,28,2,2,0,0,2,2,2,2,26131715,26131745,0,2019-09-08 00:35:00,EV2-0058,True,True,False
688.0,8,7,4,2,True,30,1,1,0,0,1,1,1,1,26135750,26135780,17,2019-09-10 19:50:00,EV2-0059,True,True,False
1.0,7,7,5,10,True,41,8,9,1,1,7,8,9,9,26144604,26144634,13,2019-09-16 23:24:00,EV2-0060,True,True,False
22.0,7,7,5,6,True,27,4,4,0,0,4,4,4,4,26165769,26165799,7,2019-10-01 16:09:00,EV2-0061,True,True,False
155.0,7,7,4,2,True,35,1,1,0,0,1,1,1,1,26504590,26504620,13,2020-05-23 23:10:00,EV2-0062,True,True,False
1303.0,9,7,5,9,True,34,6,6,0,0,6,6,6,6,26537800,26537830,18,2020-06-16 00:40:00,EV2-0063,True,True,False
17.0,8,7,7,9,True,46,5,5,0,0,5,5,5,5,26566948,26566978,7,2020-07-06 06:28:00,EV2-0064,True,True,False
73.0,7,7,5,3,True,29,2,2,0,0,1,2,2,2,26591515,26591545,5,2020-07-23 07:55:00,EV2-0065,True,True,False
3.0,7,7,4,2,True,30,2,2,0,0,2,2,2,2,26596708,26596738,5,2020-07-26 22:28:00,EV2-0066,True,True,False
3.0,8,7,3,17,True,21,5,6,1,1,4,5,6,6,26605224,26605254,25,2020-08-01 20:24:00,EV2-0067,True,True,False
1.0,15,13,6,15,True,35,7,7,0,0,7,7,7,7,26605285,26605315,2,2020-08-01 21:25:00,EV2-0068,True,True,False
5.0,7,7,5,0,True,29,0,0,0,0,0,0,0,0,26605367,26605397,8,2020-08-01 22:47:00,EV2-0069,False,False,False
19.0,9,7,3,50,True,23,5,6,1,1,5,5,5,5,26606658,26606688,18,2020-08-02 20:18:00,EV2-0070,True,True,False
1.0,32,29,10,14,True,40,7,7,0,0,7,7,7,7,26606718,26606748,1,2020-08-02 21:18:00,EV2-0071,True,True,False
2.0,17,13,7,8,True,41,4,4,0,0,3,4,4,4,26606779,26606809,6,2020-08-02 22:19:00,EV2-0072,True,True,False
62.0,7,7,5,2,True,42,0,1,1,2,0,0,1,1,26607318,26607348,0,2020-08-03 07:18:00,EV2-0073,False,True,True
15.0,7,7,4,19,True,35,6,6,0,0,4,6,6,6,26608177,26608207,5,2020-08-03 21:37:00,EV2-0074,True,True,False
83.0,7,7,5,12,True,39,8,8,0,0,6,8,8,8,26608406,26608436,17,2020-08-04 01:26:00,EV2-0075,True,True,False
160.0,7,7,3,16,True,23,3,6,3,5,3,3,4,5,26609474,26609504,13,2020-08-04 19:14:00,EV2-0076,True,True,False
9.0,7,7,4,7,True,28,5,5,0,0,4,5,5,5,26609614,26609644,5,2020-08-04 21:34:00,EV2-0077,True,True,False
2.0,8,7,6,4,True,55,2,2,0,0,2,2,2,2,26609674,26609704,9,2020-08-04 22:34:00,EV2-0078,True,True,False
22.0,7,7,6,18,True,38,7,7,0,0,6,7,7,7,26612543,26612573,6,2020-08-06 22:23:00,EV2-0079,True,True,False
6.0,7,7,2,12,True,18,5,5,0,0,5,5,5,5,26615396,26615426,6,2020-08-08 21:56:00,EV2-0080,True,True,False
15.0,12,8,5,18,True,32,8,8,0,0,7,8,8,8,26616675,26616705,7,2020-08-09 19:15:00,EV2-0081,True,True,False
14.0,8,7,6,9,True,39,5,5,0,0,5,5,5,5,26616770,26616800,1,2020-08-09 20:50:00,EV2-0082,True,True,False
1.0,11,9,6,4,True,33,2,2,0,0,2,2,2,2,26616837,26616867,3,2020-08-09 21:57:00,EV2-0083,True,True,False
5.0,7,7,4,0,True,36,0,0,0,0,0,0,0,0,26617477,26617507,13,2020-08-10 08:37:00,EV2-0084,False,False,False
5.0,8,7,4,14,True,24,4,5,1,1,4,4,4,5,26618104,26618134,17,2020-08-10 19:04:00,EV2-0085,True,True,False
4.0,7,7,3,19,True,31,5,5,0,0,4,5,5,5,26621256,26621286,3,2020-08-12 23:36:00,EV2-0086,True,True,False
1.0,23,22,7,11,True,38,6,7,1,2,4,6,7,7,26621316,26621346,0,2020-08-13 00:36:00,EV2-0087,True,True,False
2.0,10,9,8,0,True,46,0,0,0,0,0,0,0,0,26621378,26621408,1,2020-08-13 01:38:00,EV2-0088,False,False,False
