모델,Hit@3(전체),Hit@3(전체) 95%CI,Hit@3(전체) - prior기준선,전체 차이 95%CI,Recall@3(전체),Recall@3(전체) 95%CI,Hit@3(후보내),Hit@3(후보내) 95%CI,Hit@3(후보내) - prior기준선,후보내 차이 95%CI,Recall@3(후보내),Recall@3(후보내) 95%CI,PR-AUC(후보내),ROC-AUC(후보내),평가 Event 수(전체),평가 Event 수(후보내),테스트 Event 수
기준선 무작위,0.28845903840351916,0.26~0.32,-0.43045466438115143,-0.50~-0.35,0.08906841498527122,0.08~0.10,0.2947987974893108,0.27~0.32,-0.4399152064554624,-0.51~-0.36,0.10173040019964918,0.09~0.11,0.0955794504181601,0.5,93,91,102
기준선 초기민원수 상위3,0.7577572964669739,0.68~0.83,0.03884359368230336,-0.04~+0.12,0.3418261920278049,0.29~0.40,0.7744113029827316,0.70~0.85,0.039697299037958385,-0.04~+0.13,0.3878656462585034,0.33~0.45,0.2846050769471468,0.722486480350066,93,91,102
기준선 prior만,0.7189137027846706,0.63~0.81,0.0,+0.00~+0.00,0.3135513232287425,0.27~0.36,0.7347140039447733,0.64~0.82,0.0,+0.00~+0.00,0.37280488132136486,0.31~0.43,0.3752544087700545,0.8598254829920738,93,91,102
XGB 기존15변수(LOO prior),0.7741935483870968,0.69~0.86,0.05527984560242624,-0.02~+0.14,0.3584283697186923,0.30~0.42,0.7912087912087912,0.70~0.87,0.05649478726401803,-0.02~+0.14,0.41108058608058606,0.35~0.48,0.3964322144550046,0.8695343461030384,93,91,102
XGB 15변수+이력,0.7526881720430108,0.67~0.84,0.033774469258340226,-0.03~+0.11,0.3390944778041552,0.28~0.40,0.7692307692307693,0.68~0.85,0.03451676528599606,-0.03~+0.10,0.39449241234955523,0.33~0.46,0.41131684454357875,0.8791549702774109,93,91,102
