라벨,양성 격자-Event 수,원본 대비,후보 안 정답 있는 Event 수,정답이 있는 Event 수(후보 밖 포함)
원본 라벨,320,1.0,91,93
상위 3개 위치 신고 제외,255,0.796875,85,88
상위 10개 위치 신고 제외,236,0.7375,85,88
예측 창에 서로 다른 위치 2곳 이상,115,0.359375,66,66
