폴드,모델,평가 Event(전체),Hit@3(전체),Wilson 하한,Wilson 상한,기준선 대비 Δ,Δ 하한,Δ 상한
2021-01~2021-12,기준선 무작위,43,0.3016018455140734,0.1854353501438772,0.45031062595878174,-0.3960725730905778,-0.513554823219842,-0.2829679657561212
2021-01~2021-12,기준선 초기민원수 상위3,43,0.6962347729789591,0.5474609766973101,0.8128211331407501,-0.0014396456256921323,-0.12592469545957918,0.10700442967884825
2021-01~2021-12,기준선 prior만,43,0.6976744186046512,0.5489435424759017,0.8139817205381712,0.0,0.0,0.0
2021-01~2021-12,XGB 기존15변수(LOO prior),43,0.7441860465116279,0.5976131013174515,0.8507063412293445,0.046511627906976744,-0.09302325581395349,0.18604651162790697
2021-01~2021-12,XGB 15변수+이력,43,0.6976744186046512,0.5489435424759017,0.8139817205381712,0.0,-0.11627906976744186,0.09302325581395349
2022-01~2022-12,기준선 무작위,22,0.32821108938626886,0.1709106430001099,0.5365876517260614,-0.5808798197046402,-0.66775082916209,-0.4720091727048594
2022-01~2022-12,기준선 초기민원수 상위3,22,0.8787878787878788,0.6846150623634358,0.9603398423896238,-0.0303030303030303,-0.11363636363636363,0.030303030303030307
2022-01~2022-12,기준선 prior만,22,0.9090909090909091,0.7218461934161421,0.9747051037171622,0.0,0.0,0.0
2022-01~2022-12,XGB 기존15변수(LOO prior),22,0.8636363636363636,0.6666458812053,0.9525108273576373,-0.045454545454545456,-0.13636363636363635,0.0
2022-01~2022-12,XGB 15변수+이력,22,0.8636363636363636,0.6666458812053,0.9525108273576373,-0.045454545454545456,-0.13636363636363635,0.0
2023-07~2023-12,기준선 무작위,4,0.18571093540605735,0.026966144795584956,0.6523961643311824,-0.5642890645939427,,
2023-07~2023-12,기준선 초기민원수 상위3,4,0.35,0.08164834569815993,0.7653216604230398,-0.4,,
2023-07~2023-12,기준선 prior만,4,0.75,0.3006360524426366,0.9544139373553637,0.0,,
2023-07~2023-12,XGB 기존15변수(LOO prior),4,0.75,0.3006360524426366,0.9544139373553637,0.0,,
2023-07~2023-12,XGB 15변수+이력,4,0.75,0.3006360524426366,0.9544139373553637,0.0,,
2024-07~2024-12,기준선 무작위,15,0.2575560139558642,0.10344072527937917,0.51053475550123,-0.4663756099757598,-0.6334995184629694,-0.27148195278355364
2024-07~2024-12,기준선 초기민원수 상위3,15,0.9222222222222223,0.6876918862767066,0.9845793999551774,0.19829059829059834,-0.039850427350427334,0.4620299145299145
2024-07~2024-12,기준선 prior만,15,0.7239316239316239,0.4713135076201679,0.88523523123156,0.0,0.0,0.0
2024-07~2024-12,XGB 기존15변수(LOO prior),15,0.9333333333333333,0.7018292244757601,0.9881334113938051,0.20940170940170943,0.05128205128205129,0.37403846153846143
2024-07~2024-12,XGB 15변수+이력,15,0.9333333333333333,0.7018292244757601,0.9881334113938051,0.20940170940170943,0.05128205128205129,0.37403846153846143
2025-01~2025-06,기준선 무작위,1,0.3137254901960784,0.022575537578454652,0.9004769616763695,0.3137254901960784,,
2025-01~2025-06,기준선 초기민원수 상위3,1,1.0,0.20654329147389294,1.0,1.0,,
2025-01~2025-06,기준선 prior만,1,0.0,0.0,0.7934567085261071,0.0,,
2025-01~2025-06,XGB 기존15변수(LOO prior),1,1.0,0.20654329147389294,1.0,1.0,,
2025-01~2025-06,XGB 15변수+이력,1,1.0,0.20654329147389294,1.0,1.0,,
2025-07~2025-12,기준선 무작위,7,0.23486958215123174,0.059552483975735315,0.5980786913228594,-0.19370184642019675,,
2025-07~2025-12,기준선 초기민원수 상위3,7,0.6523809523809525,0.3098169143073054,0.8869560097383461,0.22380952380952376,,
2025-07~2025-12,기준선 prior만,7,0.42857142857142855,0.15821692226262685,0.7495457695909742,0.0,,
2025-07~2025-12,XGB 기존15변수(LOO prior),7,0.42857142857142855,0.15821692226262685,0.7495457695909742,0.0,,
2025-07~2025-12,XGB 15변수+이력,7,0.42857142857142855,0.15821692226262685,0.7495457695909742,0.0,,
2026-07~2026-07,기준선 무작위,1,0.07317073170731703,0.001344731638731167,0.8223378244201407,0.07317073170731703,,
2026-07~2026-07,기준선 초기민원수 상위3,1,0.4,0.03580836066403531,0.922882981041186,0.4,,
2026-07~2026-07,기준선 prior만,1,0.0,0.0,0.7934567085261071,0.0,,
2026-07~2026-07,XGB 기존15변수(LOO prior),1,0.0,0.0,0.7934567085261071,0.0,,
2026-07~2026-07,XGB 15변수+이력,1,0.0,0.0,0.7934567085261071,0.0,,
(합산) 2023년 이후 반기들,기준선 무작위,28,0.23704168742586468,0.1176844872229725,0.4198492578102049,-0.3650645396803625,-0.5077044562794919,-0.21443858779870786
(합산) 2023년 이후 반기들,기준선 초기민원수 상위3,28,0.7571428571428571,0.5739786514919293,0.878259929483901,0.15503663003663,-0.017163461538461534,0.34689102564102564
(합산) 2023년 이후 반기들,기준선 prior만,28,0.6021062271062271,0.4193299964514459,0.7602447962081162,0.0,0.0,0.0
(합산) 2023년 이후 반기들,XGB 기존15변수(LOO prior),28,0.75,0.566439747592954,0.8732366505779922,0.1478937728937729,0.05494505494505495,0.2802197802197802
(합산) 2023년 이후 반기들,XGB 15변수+이력,28,0.75,0.566439747592954,0.8732366505779922,0.1478937728937729,0.05494505494505495,0.2802197802197802
