모델,2022년까지 Hit@3(전체),2023년 이후 Hit@3(전체),평가 Event 수(2022까지/2023이후),시기 변화(이후-이전),기준선 대비 우위(2022까지),기준선 대비 우위(2023이후),우위의 변화
기준선 무작위,0.3106080511323549,0.23704168742586468,65/28,"-0.074 [-0.128, -0.021] ▼",-0.459,-0.365,"+0.094 [-0.069, +0.264] "
기준선 초기민원수 상위3,0.758021978021978,0.7571428571428571,65/28,"-0.001 [-0.181, +0.166] ",-0.011,+0.155,"+0.166 [-0.038, +0.373] "
기준선 prior만,0.7692307692307693,0.6021062271062271,65/28,"-0.167 [-0.377, +0.025] ",(기준),(기준),
XGB 기존15변수(LOO prior),0.7846153846153846,0.75,65/28,"-0.035 [-0.229, +0.140] ",+0.015,+0.148,"+0.133 [-0.008, +0.290] "
XGB 15변수+이력,0.7538461538461538,0.75,65/28,"-0.004 [-0.203, +0.185] ",-0.015,+0.148,"+0.163 [+0.027, +0.307] ▲"
