event_hour,event_id,grid_x,grid_y,center_latitude,center_longitude,source_fit_score,forward_plume_score,prior_downwind_score,lagged_wind_alignment,travel_time_min,rain_1h,rain_3h,stagnation_flag,backtrack_uncertainty,weather_source,history_cutoff
2019-07-23 07:00:00,EVT-0003,-5,3,35.9882752465171,126.93388064572558,,,,,,,,,,none,2019-07-23 07:00:00
2019-07-23 07:00:00,EVT-0003,-4,0,35.96113574950244,126.94497828000878,,,,,,,,,,none,2019-07-23 07:00:00
2019-07-23 07:00:00,EVT-0003,-4,1,35.97018224850733,126.94497828000878,,,,,,,,,,none,2019-07-23 07:00:00
2019-07-23 07:00:00,EVT-0003,-4,2,35.97922874751221,126.94497828000878,,,,,,,,,,none,2019-07-23 07:00:00
2019-07-23 07:00:00,EVT-0003,-3,-4,35.9249497534829,126.956075914292,,,,,,,,,,none,2019-07-23 07:00:00
2019-07-23 07:00:00,EVT-0003,-3,0,35.96113574950244,126.956075914292,,,,,,,,,,none,2019-07-23 07:00:00
2019-07-23 07:00:00,EVT-0003,-3,1,35.97018224850733,126.956075914292,,,,,,,,,,none,2019-07-23 07:00:00
2019-07-23 07:00:00,EVT-0003,-2,-5,35.91590325447802,126.9671735485752,,,,,,,,,,none,2019-07-23 07:00:00
2019-07-23 07:00:00,EVT-0003,-2,-4,35.9249497534829,126.9671735485752,,,,,,,,,,none,2019-07-23 07:00:00
2019-07-23 07:00:00,EVT-0003,-2,-3,35.93399625248779,126.9671735485752,,,,,,,,,,none,2019-07-23 07:00:00
2019-07-23 07:00:00,EVT-0003,-2,-1,35.95208925049756,126.9671735485752,,,,,,,,,,none,2019-07-23 07:00:00
2019-07-23 07:00:00,EVT-0003,-2,0,35.96113574950244,126.9671735485752,,,,,,,,,,none,2019-07-23 07:00:00
2019-07-23 07:00:00,EVT-0003,-2,1,35.97018224850733,126.9671735485752,,,,,,,,,,none,2019-07-23 07:00:00
