event_hour,rank,source_id,name,city,species,location_precision,distance_km,bearing_deg,travel_time_min,wind_alignment,fit_score,evidence_text
2020-08-02 21:00:00,4,IKSAN-0141,재우스 농장,익산시,돼지,point,5.726893354919858,279.1913690830179,56.14601328352802,0.48772815843902934,0.6248404789708364,"남풍 1.7 m/s Event 정시 기준, 5.7 km, 예상 도달 56분, 방위 일치 0.49"
2020-08-02 21:00:00,5,IKSAN-0146,삼부 농장,익산시,돼지,point,5.3329907652373665,297.17806454870725,52.28422318860163,0.7334696894552168,0.3488643315230679,"남풍 1.7 m/s Event 정시 기준, 5.3 km, 예상 도달 52분, 방위 일치 0.73"
2020-08-02 22:00:00,1,IKSAN-1166,우리농장,익산시,육계,point,2.1385388258799085,352.0180898231756,18.7591125077185,0.9903119600863753,1.0,"남풍 1.9 m/s Event 정시 기준, 2.1 km, 예상 도달 19분, 방위 일치 0.99"
2020-08-02 22:00:00,2,IKSAN-0145,다니엘 농장,익산시,돼지,point,3.3594324742929897,286.4248507711768,29.468705914850787,0.28275751139207245,0.7368183327117263,"남풍 1.9 m/s Event 정시 기준, 3.4 km, 예상 도달 29분, 방위 일치 0.28"
2020-08-02 22:00:00,3,IKSAN-0282,해밀축산,익산시,돼지,point,3.6159557641653306,289.1410928697952,31.718910211976585,0.32789553767641855,0.5467804945982906,"남풍 1.9 m/s Event 정시 기준, 3.6 km, 예상 도달 32분, 방위 일치 0.33"
2020-08-02 22:00:00,4,IKSAN-1063,장백농장,익산시,육계,point,5.430560236776999,326.40276377719664,47.6364933050614,0.8329479336957958,0.338508000371498,"남풍 1.9 m/s Event 정시 기준, 5.4 km, 예상 도달 48분, 방위 일치 0.83"
2020-08-02 22:00:00,5,IKSAN-0146,삼부 농장,익산시,돼지,point,4.146763054313081,293.4444821884628,36.375114511518255,0.39786027945071206,0.3034137871026554,"남풍 1.9 m/s Event 정시 기준, 4.1 km, 예상 도달 36분, 방위 일치 0.40"
2020-08-03 22:00:00,1,IKSAN-0145,다니엘 농장,익산시,돼지,point,2.983930636397269,308.849779088451,35.522983766634155,0.855814003800904,1.0,"남풍 1.4 m/s Event 정시 기준, 3.0 km, 예상 도달 36분, 방위 일치 0.86"
2020-08-03 22:00:00,2,IKSAN-0282,해밀축산,익산시,돼지,point,2.872600259536286,301.9974859266467,34.197622137336744,0.787983738325893,0.6871881562187497,"남풍 1.4 m/s Event 정시 기준, 2.9 km, 예상 도달 34분, 방위 일치 0.79"
2020-08-03 22:00:00,3,IKSAN-0141,재우스 농장,익산시,돼지,point,3.9570048926529124,285.3928022097709,47.10720110301087,0.57917876722981,0.5946968494269709,"남풍 1.4 m/s Event 정시 기준, 4.0 km, 예상 도달 47분, 방위 일치 0.58"
2020-08-03 22:00:00,4,IKSAN-1166,우리농장,익산시,육계,point,2.1200184958098713,341.7542063575902,25.23831542630799,0.9995313461645884,0.5232248796247555,"남풍 1.4 m/s Event 정시 기준, 2.1 km, 예상 도달 25분, 방위 일치 1.00"
2020-08-03 22:00:00,5,IKSAN-0427,최O 농장,익산시,육계,point,4.491416634472024,301.2048707224354,53.46924564847648,0.7793912297952688,0.35704943358716756,"남풍 1.4 m/s Event 정시 기준, 4.5 km, 예상 도달 53분, 방위 일치 0.78"
2020-08-04 02:00:00,1,IKSAN-0145,다니엘 농장,익산시,돼지,point,3.23171143553627,307.0073258078568,35.90790483929189,0.9743988189426498,1.0,"남동풍 1.5 m/s Event 정시 기준, 3.2 km, 예상 도달 36분, 방위 일치 0.97"
2020-08-04 02:00:00,2,IKSAN-0282,해밀축산,익산시,돼지,point,3.5290006913396197,308.170992712226,39.21111879266244,0.9787637325544134,0.6889224951884849,"남동풍 1.5 m/s Event 정시 기준, 3.5 km, 예상 도달 39분, 방위 일치 0.98"
2020-08-04 02:00:00,3,IKSAN-1166,우리농장,익산시,육계,point,2.2958608972572216,313.9754376390517,25.509565525080237,0.9944769932513104,0.5700024924885355,"남동풍 1.5 m/s Event 정시 기준, 2.3 km, 예상 도달 26분, 방위 일치 0.99"
2020-08-04 02:00:00,4,IKSAN-0141,재우스 농장,익산시,돼지,point,4.2241366142046965,285.42935521953837,46.93485126894107,0.8234271925222417,0.4621764294198963,"남동풍 1.5 m/s Event 정시 기준, 4.2 km, 예상 도달 47분, 방위 일치 0.82"
2020-08-04 02:00:00,5,IKSAN-0146,삼부 농장,익산시,돼지,point,4.123045135741168,309.9069155495391,45.81161261934631,0.9845243394107237,0.2733093045815189,"남동풍 1.5 m/s Event 정시 기준, 4.1 km, 예상 도달 46분, 방위 일치 0.98"
2020-08-04 20:00:00,1,IKSAN-1166,우리농장,익산시,육계,point,1.5616957821374404,270.7840884929043,11.831028652556364,0.6532103550712496,1.0,"남동풍 2.2 m/s Event 정시 기준, 1.6 km, 예상 도달 12분, 방위 일치 0.65"
2020-08-04 20:00:00,2,IKSAN-0145,다니엘 농장,익산시,돼지,point,3.891848837255763,292.72162267816714,29.483703312543653,0.888790257718001,0.6269639250191712,"남동풍 2.2 m/s Event 정시 기준, 3.9 km, 예상 도달 29분, 방위 일치 0.89"
2020-08-04 20:00:00,3,IKSAN-0282,해밀축산,익산시,돼지,point,4.164016761699485,294.68480146005083,31.545581528026396,0.9039691549569571,0.39641734679358154,"남동풍 2.2 m/s Event 정시 기준, 4.2 km, 예상 도달 32분, 방위 일치 0.90"
2020-08-04 20:00:00,4,IKSAN-0141,재우스 농장,익산시,돼지,point,5.126640468460158,277.6450176624782,38.8381853671224,0.7389849163572696,0.19942271590130797,"남동풍 2.2 m/s Event 정시 기준, 5.1 km, 예상 도달 39분, 방위 일치 0.74"
2020-08-04 20:00:00,5,IKSAN-0146,삼부 농장,익산시,돼지,point,4.717896312171915,297.83887229537123,35.741638728575104,0.9261267176128805,0.15917441062712628,"남동풍 2.2 m/s Event 정시 기준, 4.7 km, 예상 도달 36분, 방위 일치 0.93"
2020-08-04 21:00:00,1,IKSAN-0145,다니엘 농장,익산시,돼지,point,4.337299967589326,294.578669865291,28.915333117262172,0.9031755458339681,1.0,"남동풍 2.5 m/s Event 정시 기준, 4.3 km, 예상 도달 29분, 방위 일치 0.90"
2020-08-04 21:00:00,2,IKSAN-1166,우리농장,익산시,육계,point,1.5102123728095718,324.38619295637614,10.068082485397145,0.9970712109034662,0.7934605852368288,"남동풍 2.5 m/s Event 정시 기준, 1.5 km, 예상 도달 10분, 방위 일치 1.00"
2020-08-04 21:00:00,3,IKSAN-0282,해밀축산,익산시,돼지,point,4.6134438773752064,296.2411277858349,30.75629251583471,0.9152491030830943,0.717043518376592,"남동풍 2.5 m/s Event 정시 기준, 4.6 km, 예상 도달 31분, 방위 일치 0.92"
2020-08-04 21:00:00,4,IKSAN-0141,재우스 농장,익산시,돼지,point,5.523665241462527,280.25006967207275,36.82443494308351,0.768842609635236,0.5129631718706986,"남동풍 2.5 m/s Event 정시 기준, 5.5 km, 예상 도달 37분, 방위 일치 0.77"
2020-08-04 21:00:00,5,IKSAN-1063,장백농장,익산시,육계,point,4.854744071558026,299.42475947796447,32.36496047705351,0.9362114912179875,0.4371220162999132,"남동풍 2.5 m/s Event 정시 기준, 4.9 km, 예상 도달 32분, 방위 일치 0.94"
2020-08-04 22:00:00,1,IKSAN-0145,다니엘 농장,익산시,돼지,point,5.430883287545942,285.500233558799,69.62670881469155,0.8241284974965827,1.0,"남동풍 1.3 m/s Event 정시 기준, 5.4 km, 예상 도달 70분, 방위 일치 0.82"
2020-08-04 22:00:00,2,IKSAN-1166,우리농장,익산시,육계,point,2.3525678801924363,296.7603619442387,30.161126669133797,0.9188625845669232,0.8999458610272493,"남동풍 1.3 m/s Event 정시 기준, 2.4 km, 예상 도달 30분, 방위 일치 0.92"
2020-08-04 22:00:00,3,IKSAN-1063,장백농장,익산시,육계,point,5.069300933711993,291.8418876282988,64.99103761169222,0.8816486875270507,0.798600834423158,"남동풍 1.3 m/s Event 정시 기준, 5.1 km, 예상 도달 65분, 방위 일치 0.88"
2020-08-04 22:00:00,4,IKSAN-0282,해밀축산,익산시,돼지,point,5.683256127779488,287.2693755204281,72.86225804845498,0.841221904383301,0.7451162245259739,"남동풍 1.3 m/s Event 정시 기준, 5.7 km, 예상 도달 73분, 방위 일치 0.84"
2020-08-04 22:00:00,5,GIMJE-0525,김제시 백구면 석담리 축산 밀집 구역(2곳),김제시,육계,village,5.230959355520032,333.93840149948187,67.06358148102606,0.9705552548952501,0.5458081804787402,"남동풍 1.3 m/s Event 정시 기준, 5.2 km, 예상 도달 67분, 방위 일치 0.97"
2020-08-06 22:00:00,1,IKSAN-0661,민솔농장,익산시,돼지,point,4.8676902172037115,219.94385159143044,162.25634057345704,0.7666739907129448,1.0,"북풍 0.0 m/s Event 정시 기준, 4.9 km, 예상 도달 162분, 방위 일치 0.77"
2020-08-06 22:00:00,2,IKSAN-0147,이레농장,익산시,육계,point,4.029246195019887,204.7285032297198,134.3082065006629,0.9083001866071326,0.7162644307619709,"북풍 0.0 m/s Event 정시 기준, 4.0 km, 예상 도달 134분, 방위 일치 0.91"
2020-08-06 22:00:00,3,IKSAN-0294,진흥 농장,익산시,돼지,point,5.588830327262011,203.41995600098116,180.0,0.9176162442344156,0.5497857188606108,"북풍 0.0 m/s Event 정시 기준, 5.6 km, 예상 도달 180분, 방위 일치 0.92"
2020-08-06 22:00:00,4,IKSAN-0957,삼기농장,익산시,육계,point,5.196906728095183,196.9880322709415,173.2302242698394,0.9563658046140456,0.4054365116875207,"북풍 0.0 m/s Event 정시 기준, 5.2 km, 예상 도달 173분, 방위 일치 0.96"
2020-08-06 22:00:00,5,IKSAN-0272,임상 농장,익산시,육계,point,3.718592088365434,205.47169577705847,123.95306961218114,0.9027978475010033,0.29479100883447257,"북풍 0.0 m/s Event 정시 기준, 3.7 km, 예상 도달 124분, 방위 일치 0.90"
2020-08-06 23:00:00,1,IKSAN-0145,다니엘 농장,익산시,돼지,point,4.509628554463318,292.63941959606575,93.95059488465246,0.99893912354881,1.0,"동풍 0.8 m/s Event 정시 기준, 4.5 km, 예상 도달 94분, 방위 일치 1.00"
