event_id,is_train,event_hour,grid_x,grid_y,target,center_latitude,center_longitude
EVT-0005,True,2019-07-24 00:00:00,1,0,1,35.96113574950244,127.0004664514248
EVT-0005,True,2019-07-24 00:00:00,1,1,0,35.97018224850733,127.0004664514248
EVT-0005,True,2019-07-24 00:00:00,1,2,0,35.97922874751221,127.0004664514248
EVT-0005,True,2019-07-24 00:00:00,2,-1,0,35.95208925049756,127.011564085708
EVT-0005,True,2019-07-24 00:00:00,2,0,0,35.96113574950244,127.011564085708
EVT-0005,True,2019-07-24 00:00:00,2,1,0,35.97018224850733,127.011564085708
EVT-0005,True,2019-07-24 00:00:00,3,0,0,35.96113574950244,127.0226617199912
EVT-0005,True,2019-07-24 00:00:00,4,3,0,35.9882752465171,127.03375935427441
EVT-0005,True,2019-07-24 00:00:00,5,2,0,35.97922874751221,127.04485698855761
EVT-0005,True,2019-07-24 00:00:00,5,3,0,35.9882752465171,127.04485698855761
EVT-0005,True,2019-07-24 00:00:00,5,4,0,35.99732174552198,127.04485698855761
EVT-0005,True,2019-07-24 00:00:00,6,1,0,35.97018224850733,127.05595462284082
EVT-0005,True,2019-07-24 00:00:00,6,2,0,35.97922874751221,127.05595462284082
EVT-0005,True,2019-07-24 00:00:00,6,3,0,35.9882752465171,127.05595462284082
EVT-0005,True,2019-07-24 00:00:00,6,4,0,35.99732174552198,127.05595462284082
EVT-0005,True,2019-07-24 00:00:00,6,5,0,36.00636824452687,127.05595462284082
EVT-0005,True,2019-07-24 00:00:00,7,2,0,35.97922874751221,127.06705225712402
EVT-0005,True,2019-07-24 00:00:00,7,3,0,35.9882752465171,127.06705225712402
EVT-0005,True,2019-07-24 00:00:00,7,4,0,35.99732174552198,127.06705225712402
EVT-0005,True,2019-07-24 00:00:00,8,3,0,35.9882752465171,127.07814989140722
EVT-0006,True,2019-07-24 08:00:00,-7,-2,0,35.94304275149267,126.91168537715917
EVT-0006,True,2019-07-24 08:00:00,-7,1,0,35.97018224850733,126.91168537715917
EVT-0006,True,2019-07-24 08:00:00,-6,-3,0,35.93399625248779,126.92278301144238
EVT-0006,True,2019-07-24 08:00:00,-6,-2,0,35.94304275149267,126.92278301144238
EVT-0006,True,2019-07-24 08:00:00,-6,-1,0,35.95208925049756,126.92278301144238
EVT-0006,True,2019-07-24 08:00:00,-6,0,0,35.96113574950244,126.92278301144238
EVT-0006,True,2019-07-24 08:00:00,-6,1,0,35.97018224850733,126.92278301144238
EVT-0006,True,2019-07-24 08:00:00,-6,2,0,35.97922874751221,126.92278301144238
EVT-0006,True,2019-07-24 08:00:00,-5,-4,0,35.9249497534829,126.93388064572558
EVT-0006,True,2019-07-24 08:00:00,-5,-3,0,35.93399625248779,126.93388064572558
EVT-0006,True,2019-07-24 08:00:00,-5,-2,0,35.94304275149267,126.93388064572558
EVT-0006,True,2019-07-24 08:00:00,-5,-1,1,35.95208925049756,126.93388064572558
EVT-0006,True,2019-07-24 08:00:00,-5,0,0,35.96113574950244,126.93388064572558
EVT-0006,True,2019-07-24 08:00:00,-5,1,0,35.97018224850733,126.93388064572558
EVT-0006,True,2019-07-24 08:00:00,-5,2,0,35.97922874751221,126.93388064572558
EVT-0006,True,2019-07-24 08:00:00,-5,3,0,35.9882752465171,126.93388064572558
EVT-0006,True,2019-07-24 08:00:00,-4,-3,0,35.93399625248779,126.94497828000878
EVT-0006,True,2019-07-24 08:00:00,-4,-2,0,35.94304275149267,126.94497828000878
EVT-0006,True,2019-07-24 08:00:00,-4,-1,0,35.95208925049756,126.94497828000878
EVT-0006,True,2019-07-24 08:00:00,-4,0,0,35.96113574950244,126.94497828000878
EVT-0006,True,2019-07-24 08:00:00,-4,1,0,35.97018224850733,126.94497828000878
EVT-0006,True,2019-07-24 08:00:00,-4,2,0,35.97922874751221,126.94497828000878
EVT-0006,True,2019-07-24 08:00:00,-3,-4,0,35.9249497534829,126.95607591429199
EVT-0006,True,2019-07-24 08:00:00,-3,-3,0,35.93399625248779,126.95607591429199
EVT-0006,True,2019-07-24 08:00:00,-3,-2,0,35.94304275149267,126.95607591429199
EVT-0006,True,2019-07-24 08:00:00,-3,-1,0,35.95208925049756,126.95607591429199
EVT-0006,True,2019-07-24 08:00:00,-3,0,0,35.96113574950244,126.95607591429199
EVT-0006,True,2019-07-24 08:00:00,-3,1,0,35.97018224850733,126.95607591429199
